"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Adversarial Danger Identification on Temporally Dynamic Graphs","F. Liu; J. Tian; L. Miranda-Moreno; L. Sun","Department of Civil Engineering, McGill University, Montreal, Canada; Department of Civil Engineering, McGill University, Montreal, Canada; Department of Civil Engineering, McGill University, Montreal, Canada; Department of Civil Engineering, McGill University, Montreal, Canada","IEEE Transactions on Neural Networks and Learning Systems","","2023","PP","99","1","12","Multivariate time series forecasting plays an increasingly critical role in various applications, such as power management, smart cities, finance, and healthcare. Recent advances in temporal graph neural networks (GNNs) have shown promising results in multivariate time series forecasting due to their ability to characterize high-dimensional nonlinear correlations and temporal patterns. However, the vulnerability of deep neural networks (DNNs) constitutes serious concerns about using these models to make decisions in real-world applications. Currently, how to defend multivariate forecasting models, especially temporal GNNs, is overlooked. The existing adversarial defense studies are mostly in static and single-instance classification domains, which cannot apply to forecasting due to the generalization challenge and the contradiction issue. To bridge this gap, we propose an adversarial danger identification method for temporally dynamic graphs to effectively protect GNN-based forecasting models. Our method consists of three steps: 1) a hybrid GNN-based classifier to identify dangerous times; 2) approximate linear error propagation to identify the dangerous variates based on the high-dimensional linearity of DNNs; and 3) a scatter filter controlled by the two identification processes to reform time series with reduced feature erasure. Our experiments, including four adversarial attack methods and four state-of-the-art forecasting models, demonstrate the effectiveness of the proposed method in defending forecasting models against adversarial attacks.","2162-2388","","10.1109/TNNLS.2023.3252175","Natural Sciences and Engineering Research Council (NSERC) of Canada; NSFC-FRQSC Research Program on Smart Cities and Big Data; Canada Foundation for Innovation (CFI); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10068359","Adversarial attack;filter-based defense;graph neural network (GNN);multivariate time series forecasting","Forecasting;Predictive models;Time series analysis;Perturbation methods;Graph neural networks;Correlation;Training","","","","","","","IEEE","13 Mar 2023","","","IEEE","IEEE Early Access Articles"
"Smart Commuting: Exploring Machine Learning Approaches to Understanding the Metro Rail Transit System","J. Empino; J. A. Junsay; M. G. Verzon; M. Abisado; S. L. Huyo-a; G. A. Sampedro","Department of Computer Science, Technological University of the Philippines, Manila, Philippines; Department of Computer Science, Technological University of the Philippines, Manila, Philippines; Department of Computer Science, Technological University of the Philippines, Manila, Philippines; College of Computing and Information Technologies, National University, Manila, Philippines; Research and Development Center, Philippine Coding Camp, Manila, Philippines; Faculty of Information and Communication Studies, University of the Philippines Open University, Laguna, Philippines","2023 International Conference on Electronics, Information, and Communication (ICEIC)","10 Mar 2023","2023","","","1","4","The Metro Rail Transit Line 3 (MRT3) has been a mode of transportation for many commuters since its inception last 1999. Each day, more than thousands of passengers are recorded by the Department of Transportation (DOTr) to ride the MRT3 and predicting the number of passengers per day can be quite difficult. The ridership of the MRT3 varies daily due to factors such as holidays, working days, and even sudden technical issues. Commuters do not know how many other commuters will board on a certain day and this could lead to difficulty in planning a convenient journey to a destination. Currently, the DOTr relies on historical data plotted on spreadsheets and this can be quite difficult to analyze. In this research, a time series forecasting of daily ridership predicts the future ridership in a specific station on certain days is proposed. The proposed prediction method runs on Azure AutoML to train different models that can give accurate data and uses the ridership data from DOTr. The trained models used include Gradient Boosting, Extreme Random Trees, and Light GBM - these models have the best accuracy.","2767-7699","979-8-3503-2021-3","10.1109/ICEIC57457.2023.10049933","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10049933","Light GBM;Gradient Boosting;Extreme Random Trees;Time Series Forecasting","Rails;Training;Time series analysis;Transportation;Predictive models;Boosting;Data models","forecasting theory;learning (artificial intelligence);public transport;rail traffic;rapid transit systems;regression analysis;time series;transportation;trees (mathematics)","daily ridership;DOTr;future ridership;machine learning approaches;Metro Rail Transit Line 3;Metro Rail Transit system;MRT3;prediction method runs;ridership data;smart commuting;sudden technical issues","","","","11","IEEE","10 Mar 2023","","","IEEE","IEEE Conferences"
"A complete air pollution monitoring and prediction framework","J. Kalajdjieski; K. Trivodaliev; G. Mirceva; S. Kalajdziski; S. Gievska","Faculty of Computer Science and Engineering, Ss. Cyril and Methodius University, Skopje, Macedonia; Faculty of Computer Science and Engineering, Ss. Cyril and Methodius University, Skopje, Macedonia; Faculty of Computer Science and Engineering, Ss. Cyril and Methodius University, Skopje, Macedonia; Faculty of Computer Science and Engineering, Ss. Cyril and Methodius University, Skopje, Macedonia; Faculty of Computer Science and Engineering, Ss. Cyril and Methodius University, Skopje, Macedonia","IEEE Access","","2023","PP","99","1","1","Forecasting air pollution is crucial for understanding the phenomenological and contextual variety of mechanisms underlying pollution in a particular area or region. Analyzing high-dimensional data with spatial and temporal dependencies is pointed out as a major challenge for traditional machine learning approaches for air pollution forecasting. The unprecedented advances in deep learning employed on massive quantities of IoT sensor data raise high hopes for the future of air pollution forecasting. Drawing on past and current experiences and solutions advanced in a growing body of research on the topic, we proposed and evaluated four encoder-decoder architectures with attention for forecasting particulate matter (PM) levels, with a general applicability that is both location- and season-independent. The attention mechanism was employed to better learn representation of time series data. By selectively focusing the attention on elements that contribute the most, superior performance gains have been obtained by the proposed models. Sensor measurements obtained in the past 7 or 14 days as well a set of external factors known to affect the pollutant levels, such as weather conditions, location and time frame (e.g., season, time of day) were taken into account. In this research, we carried out a case study on PM2.5 forecasting for the city of Skopje, allowing us to discuss the relevance of the results obtained by the proposed solutions. The ability to draw valid inferences from data has critical importance when forecasting air pollution. In this respect, any air pollution forecasting model based on deep learning would require a component for generation of realistic data samples to augment the time series dataset. We address the challenges in missing data by proposing and evaluating two adversarial networks for data augmentation. We have conducted a number of experiments to investigate the performance of the predictive models with and without augmenting the training datasets and obtain superior performance gains by the proposed adversarial models for data augmentation. The deep neural architectures advanced in this research are general enough to be used for predictive and generative tasks for other pollutants; moreover, they could be adopted for related tasks handling time series data in other domains.","2169-3536","","10.1109/ACCESS.2023.3251346","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10057411","Adversarial Data Augmentation;Air Pollution Monitoring;Air Pollution Prediction;Augmenting Sensor Data;Deep Learning;Generative Adversarial Networks;Recurrent Generative Adversarial Networks","Forecasting;Predictive models;Air pollution;Atmospheric modeling;Data models;Task analysis;Pollution measurement","","","","1","","","CCBY","2 Mar 2023","","","IEEE","IEEE Early Access Articles"
"Cloud Resources Forecasting based on Server Workload using ML Techniques","T. S. Janjanam; K. S. Siram; P. K. Kollu","Computer Science and Engineering, V. R. Siddhartha Engineering College, Vijayawada, India; Computer Science and Engineering, V. R. Siddhartha Engineering College, Vijayawada, India; Computer Science and Engineering, V. R. Siddhartha Engineering College, Vijayawada, India","2023 International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT)","1 Mar 2023","2023","","","427","433","Provisioning of resources, automatically, according to the service demand allows cloud service providers (CSPs) to implement elastic services. It is highly essential to guarantee QoS (Quality of Service) and to fulfill SLA (Service Level Agreement), in particular for the services having strict QoS needs like web servers getting a heavy load. Over-provisioning occurs when there is low demand, under-provisioning when there is a high demand and both of these situations result in poor quality of Experience (QoE) for the users. So, an approach is required to forecast future workload accurately prior to the resource allocation so that the right amount of resources can be provisioned. Such a system can help CSPs to achieve efficient resource allocation that maximizes their economic growth and also gains users’ satisfaction. This article presents an efficient workload forecasting mechanism built with the Support Vector Regression (SVR) technique to evaluate the number of resources required using web server workload time series data and queuing theory. The main goal of this technique is to forecast the future workload of the web server and predict the resources required to minimize the latency while reducing infrastructure costs and energy consumption. Normalization and outlier removal are performed for better forecasting. Various other techniques are also compared in estimating workload. Forecasting of load and prediction of resources is done with good accuracy by our proposed model better than many other models.","","978-1-6654-7451-1","10.1109/IDCIoT56793.2023.10053532","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10053532","Server workload;Time series;Cloud resources;Support Vector Regression;Queuing model","Cloud computing;Quality of service;Predictive models;Data models;Web servers;Resource management;Quality of experience","cloud computing;contracts;cost reduction;energy consumption;learning (artificial intelligence);power aware computing;quality of experience;quality of service;queueing theory;regression analysis;resource allocation;support vector machines;time series","cloud resource forecasting;cloud service providers;CSPs;economic growth;elastic services;energy consumption;infrastructure cost reduction;ML techniques;outlier removal;over-provisioning;QoE;QoS;quality of experience;quality of service;queuing theory;resource allocation;resource provisioning;service demand;service level agreement;SLA;support vector regression;SVR;under-provisioning;user satisfaction;Web server workload time series data;workload estimation;workload forecasting","","","","15","IEEE","1 Mar 2023","","","IEEE","IEEE Conferences"
"National Information Visualization Dashboard for Indian Regions Using ML Approach","S. Pathak; S. Lau; N. Lakhanpal; R. Sehgal Kaushik","Amity University, Uttar Pradesh; Amity University, Uttar Pradesh; Amity University, Uttar Pradesh; Amity University, Uttar Pradesh","2023 13th International Conference on Cloud Computing, Data Science & Engineering (Confluence)","22 Feb 2023","2023","","","93","98","National Information Visualization Dashboard for Indian Regions using ML Approach uses data analysis, visualisation, and machine learning models to forecast region wise information. All of these techniques are combined and shown on a web application. The dashboard includes carefully considered details that has been made available by trusted government websites and sources, defining the various parameters used in this paper for the various states and districts in India as well as characteristics that contribute to the current conditions of a particular area. Numerical libraries like Scikit-learn and NumPy, which are open-source modules with a variety of functions such data visualisation and analysis, are used in data analysis using Tableau. Neural networks and regression models are used to make predictions. In order to predict future unknown values, regression algorithms use a set of statistical procedures. The best model has been identified after performing a comparative analysis of the accuracies of the developed Machine Learning models like ANN, LSTM, Time Series Prediction.","","978-1-6654-6263-1","10.1109/Confluence56041.2023.10048803","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10048803","National Information;dashboard;ANN;LSTM;Tableau;Time series prediction;Scikit-learn;NumPy;Regression","Analytical models;Data analysis;Machine learning algorithms;Time series analysis;Neural networks;Data visualization;Machine learning","data analysis;data visualisation;learning (artificial intelligence);neural nets;Python;recurrent neural nets;regression analysis;time series;Web sites","data analysis;functions such data visualisation;Indian Regions;machine learning models;ML Approach;national Information Visualization Dashboard;National Information Visualization Dashboard;region wise information;regression models;trusted government websites","","","","19","IEEE","22 Feb 2023","","","IEEE","IEEE Conferences"
"Time Series Prediction of Sea Surface Temperature Using LSTM","A. Saxena; R. Chauhan; D. Chauhan; G. Aggarwal",Amity School of Engineering & Technology; Amity School of Engineering & Technology; Amity School of Engineering & Technology; Amity School of Engineering & Technology,"2023 13th International Conference on Cloud Computing, Data Science & Engineering (Confluence)","22 Feb 2023","2023","","","458","461","Sea Surface Temperature (SST) is a key indicator of the global climate system. It is an essential factor in simulations of atmospheric models, weather predictions, and the study of marine ecosystems. Of these interests, one of the most important is studying changes in sea surface temperatures that result from the anthropogenic forcing of climate, a process known as global warming. An accurate prediction of sea surface temperature is highly beneficial towards understanding climate change, preserving marine ecosystems, etc. This research focuses on processing sea surface temperature data to perform a time series forecasting using a unique long short-term memory neural architecture to predict sea surface temperature in Bay of Bengal region. Given its reasonable high accuracy and low error rate, the assessment metrics show that the recommended neural network for SST prediction can be employed for real-time applications.","","978-1-6654-6263-1","10.1109/Confluence56041.2023.10048855","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10048855","Sea Surface Temperature (SST);Deep Learning;Long Short-Term Memory (LSTM);Recursive Neural Networks (RNN)","Sea surface;Temperature distribution;Biological system modeling;Atmospheric modeling;Time series analysis;Ecosystems;Predictive models","neural net architecture;ocean temperature","Bay of Bengal region;long short-term memory neural architecture;LSTM;sea surface temperature data;time series forecasting;time series prediction","","","","17","IEEE","22 Feb 2023","","","IEEE","IEEE Conferences"
"Transformers with Attentive Federated Aggregation for Time Series Stock Forecasting","C. M. Thwal; Y. L. Tun; K. Kim; S. -B. Park; C. S. Hong","Department of Computer Science and Engineering, Kyung Hee University, Yongin-si, Republic of Korea; Department of Computer Science and Engineering, Kyung Hee University, Yongin-si, Republic of Korea; Department of Computer Science and Engineering, Kyung Hee University, Yongin-si, Republic of Korea; Department of Computer Science and Engineering, Kyung Hee University, Yongin-si, Republic of Korea; Department of Computer Science and Engineering, Kyung Hee University, Yongin-si, Republic of Korea","2023 International Conference on Information Networking (ICOIN)","22 Feb 2023","2023","","","499","504","Recent innovations in transformers have shown their superior performance in natural language processing (NLP) and computer vision (CV). The ability to capture long-range dependencies and interactions in sequential data has also triggered a great interest in time series modeling, leading to the widespread use of transformers in many time series applications. However, being the most common and crucial application, the adaptation of transformers to time series forecasting has remained limited, with both promising and inconsistent results. In contrast to the challenges in NLP and CV, time series problems not only add the complexity of order or temporal dependence among input sequences but also consider trend, level, and seasonality information that much of this data is valuable for decision making. The conventional training scheme has shown deficiencies regarding model overfitting, data scarcity, and privacy issues when working with transformers for a forecasting task. In this work, we propose attentive federated transformers for time series stock forecasting with better performance while preserving the privacy of participating enterprises. Empirical results on various stock data from the Yahoo! Finance website indicate the superiority of our proposed scheme in dealing with the above challenges and data heterogeneity in federated learning.","1976-7684","978-1-6654-6268-6","10.1109/ICOIN56518.2023.10048928","National Research Foundation of Korea; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10048928","attentive aggregation;federated learning;multi-head self-attention;time series stock forecasting;transformer","Training;Data privacy;Technological innovation;Federated learning;Time series analysis;Transformers;Natural language processing","decision making;forecasting theory;learning (artificial intelligence);natural language processing;stock markets;time series","attentive federated aggregation;attentive federated transformers;common application;computer vision;crucial application;forecasting task;long-range dependencies;NLP;sequential data;stock data;time series applications;time series forecasting;time series modeling;time series problems;time series stock forecasting","","","","36","IEEE","22 Feb 2023","","","IEEE","IEEE Conferences"
"Seasonal Trend Assessment for Groundwater Contamination Detection and Monitoring using ARIMA Model","M. A. Barajas; M. P. Murphy; L. C. Lasseter; G. I. Sunny; H. Mazumdar; H. A. Gohel; H. P. Emerson; D. I. Kaplan","Department of Computer Science, University Of Houston- Victoria, Katy, Texas, USA; Department of Computer Science, University Of Houston- Victoria, Victoria, Texas, USA; Department of Computer Science, University Of Houston- Victoria, Victoria, Texas, USA; Department of Computer Science, University Of Houston- Victoria, Victoria, Texas, USA; Department of Computer Science, University Of Houston- Victoria, Victoria, Texas, USA; Department of Computer Science, University Of Houston- Victoria, Victoria, Texas, USA; Pacific Northwest National Laboratory, Richland, WA, USA; Savannah River Ecology Lab, University of Georgia, Aiken, SC, USA","2023 IEEE 2nd International Conference on AI in Cybersecurity (ICAIC)","22 Feb 2023","2023","","","1","7","The monitoring of groundwater levels of hexavalent chromium is a vital task for the US Department of Energy's (DOE) remediation efforts at the Hanford Site, a decommissioned nuclear production facility operated by the Office of Environmental Management. While previous methods have shown promise for accurately modeling contaminants of concern at DOE sites, some contaminants, such as hexavalent chromium, remain a challenge to model due to the high variability and frequency of data collection. Recent Machine Learning (ML) techniques have shown promise to automatically handle these limitations, and regression-based ML models specifically have the potential to overcome these issues due to their ability to detect seasonal trends and patterns unapparent under simple visual inspection. This study focuses on several Autoregressive Integrated Moving Average (ARIMA)-based models, such as traditional ARIMA and Seasonal ARIMA, for modeling hexavalent chromium across 488 wells within the Hanford Site's 100-area from 1997 to 2022. After preprocessing by resampling the data to regular, monthly intervals and performing linear interpolation and normalization, we demonstrate the ARIMA models' predictive capabilities with time-series visualizations on training and testing data, as well as the models' forecasting results through 2024. The collected data sets enhance the ARIMA-based models' understanding of contaminant fate and transport at the Hanford site, which yields more reliable forecasts. There is potential for this data to be used to optimize pump and treat operations in terms of identifying appropriate periods of time and wells to recover the greatest amount of hexavalent chromium from the subsurface.","","979-8-3503-9696-6","10.1109/ICAIC57335.2023.10044126","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10044126","Groundwater;Contamination;Prediction;ARIMA;Machine Learning;Optimization","Training;Visualization;Chromium;Predictive models;Market research;Data models;Reliability","autoregressive moving average processes;contamination;environmental management;forecasting theory;groundwater;interpolation;learning (artificial intelligence);regression analysis;time series","accurately modeling contaminants;ARIMA model;ARIMA models;ARIMA-based models;Autoregressive Integrated Moving Average-based models;collected data sets;contaminant fate;data collection;decommissioned nuclear production facility;DOE sites;groundwater contamination detection;groundwater levels;Hanford Site;Hanford site;hexavalent chromium;monthly intervals;performing linear interpolation;regression-based ML models;remediation efforts;Seasonal trend assessment;seasonal trends;simple visual inspection;testing data;vital task","","","","11","IEEE","22 Feb 2023","","","IEEE","IEEE Conferences"
"Daily Precipitation Prediction Based on Multimodal Representation","G. Wu; C. -H. Chen","College of Computer and Data Science Fuzhou University, Fuzhou, China; College of Computer and Data Science Fuzhou University, Fuzhou, China","2023 IEEE International Conference on Consumer Electronics (ICCE)","17 Feb 2023","2023","","","01","02","Short-term weather forecasting is of great significance to people's lives, especially in terms of transportation. Since daily precipitation can be regarded as a nonlinear and non-stationary time series, it is difficult to predict it. Based on the contrastive learning method, A multimodal representation method for forecasting daily precipitation is proposed. Specifically, an encoder is used to convert the original weather data into feature representation, then it is optimized through contrastive learning, and the optimized features are used for prediction.","2158-4001","978-1-6654-9130-3","10.1109/ICCE56470.2023.10043429","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10043429","precipitation prediction;multimodal representation;contrastive learning","Learning systems;Precipitation;Time series analysis;Weather forecasting;Transportation;Forecasting;Consumer electronics","atmospheric precipitation;geophysics computing;learning (artificial intelligence);time series;weather forecasting","contrastive learning method;daily precipitation prediction;feature representation;multimodal representation method;original weather data;short-term weather forecasting","","","","2","IEEE","17 Feb 2023","","","IEEE","IEEE Conferences"
"Estimating Task Completion Times for Network Rollouts using Statistical Models within Partitioning-based Regression Methods","V. Natchiappan; S. Vasudevan; T. Muthukumar","Ericsson, India; Ericsson, India; Ericsson, USA","2023 15th International Conference on COMmunication Systems & NETworkS (COMSNETS)","15 Feb 2023","2023","","","763","767","This paper proposes a data and Machine Learning-based forecasting solution for the Telecommunications network-rollout planning problem. Milestone completion-time estimation is crucial to network-rollout planning; accurate estimates enable better crew utilisation and optimised cost of materials and logistics. Using historical data of milestone completion times, a model needs to incorporate domain knowledge, handle noise and yet be interpretable to project managers. This paper proposes partition-based regression models that incorporate data-driven statistical models within each partition, as a solution to the problem. Benchmarking experiments demonstrate that the proposed approach obtains competitive to better performance, at a small fraction of the model complexity of the best alternative approach based on Gradient Boosting. Experiments also demonstrate that the proposed approach is effective for both short and long-range forecasts. The proposed idea is applicable in any context requiring time-series regression with noisy and attributed data.","2155-2509","978-1-6654-7706-2","10.1109/COMSNETS56262.2023.10041312","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10041312","Network-rollout planning;Forecasting;Tree/partition-based regression","Predictive models;Market research;Data models;Planning;Telecommunications;Complexity theory;Noise measurement","learning (artificial intelligence);regression analysis;telecommunication computing;time series","data-driven statistical models;machine learning-based forecasting;partitioning-based regression methods;task completion time estimation;telecommunications network-rollout planning problem;time-series regression","","","","12","IEEE","15 Feb 2023","","","IEEE","IEEE Conferences"
