Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Computational Intelligence Methods for Time Series Analysis and Forecasting: Special Issue of IWANN 2017","Neural Processing Letters","","52","1","10.1007/s11063-020-10302-y","Olga ValenzuelaFernando RojasIgnacio Rojas","2020","http://link.springer.com/article/10.1007/s11063-020-10302-y","Article"
"The Innovative Combination of Time Series Analysis Methods for the Forecasting of Groundwater Fluctuations","Water Resources","","49","2","10.1134/S0097807822020026","Amirhossein NajafabadipourGholamreza KamaliHossein Nezamabadi-pour","2022","http://link.springer.com/article/10.1134/S0097807822020026","Article"
"Stock market forecasting with financial micro-blog based on sentiment and time series analysis","Journal of Shanghai Jiaotong University (Science)","","22","2","10.1007/s12204-017-1818-4","Yinglin Wang 王英林","2017","http://link.springer.com/article/10.1007/s12204-017-1818-4","Article"
"Forecasting Banana Harvest Area and Production in Turkey Using Time Series Analysis","Erwerbs-Obstbau","","62","3","10.1007/s10341-020-00490-1","Sadiye Peral EyduranMelekşen AkınEcevit EyduranŞenol ÇelikYakup Erdal ErtürkSezai Ercişli","2020","http://link.springer.com/article/10.1007/s10341-020-00490-1","Article"
"Multi-step time series analysis and forecasting strategy using ARIMA and evolutionary algorithms","International Journal of Information Technology","","14","1","10.1007/s41870-021-00741-8","Raghavendra KumarPardeep KumarYugal Kumar","2022","http://link.springer.com/article/10.1007/s41870-021-00741-8","Article"
"Oral and para-oral lymphomas: a 10-year multi-center retrospective study in Egypt with time series analysis and forecasting to 2030","BMC Oral Health","","22","1","10.1186/s12903-022-02582-8","Madiha AshoubMona WaliNada NoureldinKhaled KeraaEman El DesoukyMarwa Mokbel ElShafei","2022","http://link.springer.com/article/10.1186/s12903-022-02582-8","Article"
"Oil demand forecasting for China: a fresh evidence from structural time series analysis","Environment, Development and Sustainability","","21","3","10.1007/s10668-018-0081-7","Tehreem FatimaEnjun XiaMuhammad Ahad","2019","http://link.springer.com/article/10.1007/s10668-018-0081-7","Article"
"Time series analysis of hemorrhagic fever with renal syndrome in mainland China by using an XGBoost forecasting model","BMC Infectious Diseases","","21","1","10.1186/s12879-021-06503-y","Cai-Xia LvShu-Yi AnBao-Jun QiaoWei Wu","2021","http://link.springer.com/article/10.1186/s12879-021-06503-y","Article"
"An Intelligent IoT-Cloud-Based Air Pollution Forecasting Model Using Univariate Time-Series Analysis","Arabian Journal for Science and Engineering","","","","10.1007/s13369-023-07876-9","Manzoor AnsariMansaf Alam","2023","http://link.springer.com/article/10.1007/s13369-023-07876-9","Article"
"Supply continuity in Turkish electricity distribution grid: electricity interruption cost forecasting with time series analysis and machine learning","Electrical Engineering","","105","1","10.1007/s00202-022-01639-9","Burak DindarÖmer Gül","2023","http://link.springer.com/article/10.1007/s00202-022-01639-9","Article"
"Specifying a cascade water demand forecasting model using time-series analysis: a case of Jordan","Sustainable Water Resources Management","","9","1","10.1007/s40899-023-00824-3","Moawiah A. AlnsourAbbas Z. Ijam","2023","http://link.springer.com/article/10.1007/s40899-023-00824-3","Article"
"Time Series Analysis Framework for Forecasting the Construction Labor Costs","KSCE Journal of Civil Engineering","","25","8","10.1007/s12205-021-1489-4","Sayed Amir Mohsen FaghihYaghob GholipourHamed Kashani","2021","http://link.springer.com/article/10.1007/s12205-021-1489-4","Article"
"Outflow sediment concentration forecasting by integrating machine learning approaches and time series analysis in reservoir desilting operation","Stochastic Environmental Research and Risk Assessment","","34","6","10.1007/s00477-020-01802-3","Ming-Jui ChangGwo-Fong LinFong-Zuo LeeYi-Cheng WangPeng-An ChenMing-Chang WuJihn-Sung Lai","2020","http://link.springer.com/article/10.1007/s00477-020-01802-3","Article"
"Forecasting Development of Mine Pit Lake Water Surface Levels Based on Time Series Analysis and Neural Networks","Mine Water and the Environment","","41","2","10.1007/s10230-021-00844-5","Georgios LouloudisEmmanouil LouloudisChristos RoumposEleni MertiriGeorgios KasfikisKonstantinos Chatzopoulos","2022","http://link.springer.com/article/10.1007/s10230-021-00844-5","Article"
"Statistical modeling, forecasting and time series analysis of birch phenology in Montreal, Canada","Aerobiologia","","33","4","10.1007/s10453-017-9488-0","Alain RobichaudPaul Comtois","2017","http://link.springer.com/article/10.1007/s10453-017-9488-0","Article"
"Design and implementation of the SARIMA–SVM time series analysis algorithm for the improvement of atmospheric environment forecast accuracy","Soft Computing","","22","13","10.1007/s00500-017-2825-y","Nam-Uk LeeJae-Sung ShimYong-Wan JuSeok-Cheon Park","2018","http://link.springer.com/article/10.1007/s00500-017-2825-y","Article"
"Time-series analysis with smoothed Convolutional Neural Network","Journal of Big Data","","9","1","10.1186/s40537-022-00599-y","Aji Prasetya WibawaAgung Bella Putra UtamaHakkun ElmunsyahUtomo PujiantoFelix Andika DwiyantoLeonel Hernandez","2022","http://link.springer.com/article/10.1186/s40537-022-00599-y","Article"
"Full-Cycle Failure Analysis Using Conventional Time Series Analysis and Machine Learning Techniques","Journal of Failure Analysis and Prevention","","22","3","10.1007/s11668-022-01381-1","B. BillurogluV. N. Livina","2022","http://link.springer.com/article/10.1007/s11668-022-01381-1","Article"
"Integrating Machine Learning and Stochastic Pattern Analysis for the Forecasting of Time-Series Data","SN Computer Science","","4","5","10.1007/s42979-023-01981-0","A. B. Feroz KhanK. KamalakannanN. Syed Siraj Ahmed","2023","http://link.springer.com/article/10.1007/s42979-023-01981-0","Article"
"Forecasting Construction Cost Index Using Interrupted Time-Series","KSCE Journal of Civil Engineering","","22","5","10.1007/s12205-017-0452-x","Taenam MoonDo Hyoung Shin","2018","http://link.springer.com/article/10.1007/s12205-017-0452-x","Article"
"Forecasting Chaotic Time Series Via Anfis Supported by Vortex Optimization Algorithm: Applications on Electroencephalogram Time Series","Arabian Journal for Science and Engineering","","42","8","10.1007/s13369-016-2279-z","Utku KoseAhmet Arslan","2017","http://link.springer.com/article/10.1007/s13369-016-2279-z","Article"
"Density-based unsupervised ensemble learning methods for time series forecasting of aggregated or clustered electricity consumption","Journal of Intelligent Information Systems","","53","2","10.1007/s10844-019-00550-3","Peter LaurinecMarek LódererMária LuckáViera Rozinajová","2019","http://link.springer.com/article/10.1007/s10844-019-00550-3","Article"
"Time series analysis of temporal trends in hemorrhagic fever with renal syndrome morbidity rate in China from 2005 to 2019","Scientific Reports","","10","1","10.1038/s41598-020-66758-4","Yongbin WangChunjie XuWeidong WuJingchao RenYuchun LiLihui GuiSanqiao Yao","2020","http://link.springer.com/article/10.1038/s41598-020-66758-4","Article"
"Time series analysis of human brucellosis in mainland China by using Elman and Jordan recurrent neural networks","BMC Infectious Diseases","","19","1","10.1186/s12879-019-4028-x","Wei WuShu-Yi AnPeng GuanDe-Sheng HuangBao-Sen Zhou","2019","http://link.springer.com/article/10.1186/s12879-019-4028-x","Article"
"Time series analysis of climate variables using seasonal ARIMA approach","Journal of Earth System Science","","129","1","10.1007/s12040-020-01408-x","Tripti DimriShamshad AhmadMohammad Sharif","2020","http://link.springer.com/article/10.1007/s12040-020-01408-x","Article"
"Multivariate time series analysis from a Bayesian machine learning perspective","Annals of Mathematics and Artificial Intelligence","","88","10","10.1007/s10472-020-09710-6","Jinwen QiuS. Rao JammalamadakaNing Ning","2020","http://link.springer.com/article/10.1007/s10472-020-09710-6","Article"
"Time Series Analysis of COVID-19 Data to Study the Effect of Lockdown and Unlock in India","Journal of The Institution of Engineers (India): Series B","","102","6","10.1007/s40031-021-00585-7","Saswat SinghChandreyee ChowdhuryAyan Kumar PanjaSarmistha Neogy","2021","http://link.springer.com/article/10.1007/s40031-021-00585-7","Article"
"A Comparative Study and Analysis of Time Series Forecasting Techniques","SN Computer Science","","1","3","10.1007/s42979-020-00180-5","Srihari AthiyarathMousumi PaulSrivatsa Krishnaswamy","2020","http://link.springer.com/article/10.1007/s42979-020-00180-5","Article"
"Trends of HIV indicators in Egypt from 1990 to 2021: time-series analysis and forecast toward UNAIDS 90–90–90 targets","BMC Public Health","","23","1","10.1186/s12889-023-15490-5","Ramy Mohamed GhazySalah Al AwaidySarah Hamed N. Taha","2023","http://link.springer.com/article/10.1186/s12889-023-15490-5","Article"
"Assessment of neural networks and time series analysis to forecast airborne Parietaria pollen presence in the Atlantic coastal regions","International Journal of Biometeorology","","63","6","10.1007/s00484-019-01688-z","J. A. ValenciaG. AstrayM. Fernández-GonzálezM. J. AiraF. J. Rodríguez-Rajo","2019","http://link.springer.com/article/10.1007/s00484-019-01688-z","Article"
"Time series analysis of Cryptocurrency returns and volatilities","Journal of Economics and Finance","","45","1","10.1007/s12197-020-09526-4","Rama K. MalladiPrakash L. Dheeriya","2021","http://link.springer.com/article/10.1007/s12197-020-09526-4","Article"
"Forecasting COVID-19 cases using time series modeling and association rule mining","BMC Medical Research Methodology","","22","1","10.1186/s12874-022-01755-x","Rachasak SomyanonthanakulKritsasith WarinWatchara AmasiriKaricha MairiangChatchai MingmalairakWararit PanichkitkosolkulKrittin SilanunThanaruk TheeramunkongSurapon NitikraipotSiriwan Suebnukarn","2022","http://link.springer.com/article/10.1186/s12874-022-01755-x","Article"
"Application of machine learning time series analysis for prediction COVID-19 pandemic","Research on Biomedical Engineering","","38","1","10.1007/s42600-020-00105-4","Vikas ChaurasiaSaurabh Pal","2022","http://link.springer.com/article/10.1007/s42600-020-00105-4","Article"
"Causal inference for time series analysis: problems, methods and evaluation","Knowledge and Information Systems","","63","12","10.1007/s10115-021-01621-0","Raha MoraffahParas ShethMansooreh KaramiAnchit BhattacharyaQianru WangAnique TahirAdrienne RaglinHuan Liu","2021","http://link.springer.com/article/10.1007/s10115-021-01621-0","Article"
"Time series analysis of leishmaniasis incidence in Sri Lanka: evidence for humidity-associated fluctuations","International Journal of Biometeorology","","67","2","10.1007/s00484-022-02404-0","Tharaka WijerathnaNayana Gunathilaka","2023","http://link.springer.com/article/10.1007/s00484-022-02404-0","Article"
"A New CNN-Based Model for Financial Time Series: TAIEX and FTSE Stocks Forecasting","Neural Processing Letters","","54","4","10.1007/s11063-022-10767-z","Melih KirisciOzge Cagcag Yolcu","2022","http://link.springer.com/article/10.1007/s11063-022-10767-z","Article"
"Time series analysis of cow milk production at Andassa dairy farm, West Gojam Zone, Amhara Region, Ethiopia","Modeling Earth Systems and Environment","","7","1","10.1007/s40808-020-00946-z","Birhan Ambachew TayeAlemayehu Amsalu AleneAshenafi Kalayu NegaBantie Getnet Yirsaw","2021","http://link.springer.com/article/10.1007/s40808-020-00946-z","Article"
"Exploiting PSO-SVM and sample entropy in BEMD for the prediction of interval-valued time series and its application to daily PM2.5 concentration forecasting","Applied Intelligence","","53","7","10.1007/s10489-022-03835-3","Liyuan JiangZhifu TaoJiaming ZhuJunting ZhangHuayou Chen","2023","http://link.springer.com/article/10.1007/s10489-022-03835-3","Article"
"A turning point prediction method of stock price based on RVFL-GMDH and chaotic time series analysis","Knowledge and Information Systems","","63","10","10.1007/s10115-021-01602-3","Junde ChenShuangyuan YangDefu ZhangY. A. Nanehkaran","2021","http://link.springer.com/article/10.1007/s10115-021-01602-3","Article"
"predtoolsTS: R package for streamlining time series forecasting","Progress in Artificial Intelligence","","8","4","10.1007/s13748-019-00193-z","Francisco CharteAlberto VicoMaría D. Pérez-GodoyAntonio J. Rivera","2019","http://link.springer.com/article/10.1007/s13748-019-00193-z","Article"
"RETRACTED ARTICLE: Comparative analysis of time series model and machine testing systems for crime forecasting","Neural Computing and Applications","","33","17","10.1007/s00521-020-04998-1","Sudan JhaEunmok YangAlaa Omran AlmagrabiAli Kashif BashirGyanendra Prasad Joshi","2021","http://link.springer.com/article/10.1007/s00521-020-04998-1","Article"
"Forecasting Short-Term Housing Transaction Volumes using Time-Series and Internet Search Queries","KSCE Journal of Civil Engineering","","23","6","10.1007/s12205-019-1926-9","Kanghyeok LeeHanbeen KimDo Hyoung Shin","2019","http://link.springer.com/article/10.1007/s12205-019-1926-9","Article"
"Autoregressive integrated moving average time series model for forecasting air pollution in Nanded city, Maharashtra, India","Modeling Earth Systems and Environment","","4","4","10.1007/s40808-018-0493-2","Govind Eknath KulkarniAniket Avinash MuleyNilesh Kailas DeshmukhParag Upendra Bhalchandra","2018","http://link.springer.com/article/10.1007/s40808-018-0493-2","Article"
"Evaluating the impact of COVID-19 on ex-vessel prices using time-series analysis","Fisheries Science","","88","1","10.1007/s12562-021-01574-x","Keita AbeGakushi IshimuraShinya BabaShota YasuiKosuke Nakamura","2022","http://link.springer.com/article/10.1007/s12562-021-01574-x","Article"
"Time series analysis of remotely sensed water quality parameters in arid environments, Saudi Arabia","Environment, Development and Sustainability","","23","2","10.1007/s10668-020-00626-z","Mohamed ElhagIoannis GitasAnas OthmanJarbou BahrawiAris PsilovikosNassir Al-Amri","2021","http://link.springer.com/article/10.1007/s10668-020-00626-z","Article"
"Evaluation of the model malaria elimination strategy in Mandla district along with its neighbouring districts: a time series analysis from 2008 to 2020","Malaria Journal","","22","1","10.1186/s12936-023-04477-7","Mrigendra P. SinghHarsh RajvanshiPraveen K. BhartiHimanshu JayswarSrinath SinghR. K. MehraManoj PandeyRam Shankar SahuBrajesh PatelRamji BhalaviSekh NisarHarpreet KaurAparup DasDavidson H. HamerAltaf A. Lal","2023","http://link.springer.com/article/10.1186/s12936-023-04477-7","Article"
"Wayne A. Woodward, Henry L. Gray and Alan C. Elliott (2017): Applied Time Series Analysis with R, Second Edition, Chapman & Hall/CRC, 618 pp., $109.95, ISBN 9781498734226","Statistical Papers","","59","1","10.1007/s00362-017-0977-6","Uwe Hassler","2018","http://link.springer.com/article/10.1007/s00362-017-0977-6","Article"
"Analysis and Forecasting of Area Under Cultivation of Rice in India: Univariate Time Series Approach","SN Computer Science","","4","2","10.1007/s42979-022-01604-0","Niveditha AnnamalaiAmala Johnson","2023","http://link.springer.com/article/10.1007/s42979-022-01604-0","Article"
"Counterfactual time series analysis of short-term change in air pollution following the COVID-19 state of emergency in the United States","Scientific Reports","","11","1","10.1038/s41598-021-02776-0","Tanujit DeyPooja TyagiM. Benjamin SabathLeila KamareddineLucas HennemanDanielle BraunFrancesca Dominici","2021","http://link.springer.com/article/10.1038/s41598-021-02776-0","Article"
"Time series analysis of malaria in Afghanistan: using ARIMA models to predict future trends in incidence","Malaria Journal","","15","1","10.1186/s12936-016-1602-1","Mohammad Y. AnwarJoseph A. LewnardSunil ParikhVirginia E. Pitzer","2016","http://link.springer.com/article/10.1186/s12936-016-1602-1","Article"
"Transformers in Time-Series Analysis: A Tutorial","Circuits, Systems, and Signal Processing","","","","10.1007/s00034-023-02454-8","Sabeen AhmedIan E. NielsenAakash TripathiShamoon SiddiquiRavi P. RamachandranGhulam Rasool","2023","http://link.springer.com/article/10.1007/s00034-023-02454-8","Article"
"Trend Analysis and Spatial Prediction of Groundwater Levels Using Time Series Forecasting and a Novel Spatio-Temporal Method","Water Resources Management","","33","4","10.1007/s11269-019-02208-9","Mohamad SakizadehMohamed M. A. MohamedHarald Klammler","2019","http://link.springer.com/article/10.1007/s11269-019-02208-9","Article"
"Multivariate Time Series Forecasting with Dilated Residual Convolutional Neural Networks for Urban Air Quality Prediction","Arabian Journal for Science and Engineering","","46","4","10.1007/s13369-020-05109-x","Meriem BenhaddiJamal Ouarzazi","2021","http://link.springer.com/article/10.1007/s13369-020-05109-x","Article"
"Homicide-Suicide in Italy Between 2009-2018: An Epidemiological Update and Time Series Analysis","European Journal on Criminal Policy and Research","","","","10.1007/s10610-023-09550-0","Marco ColasantiEleonora RicciAlessandra CardinaleFederica AmatiCristina MazzaSilvia BiondiStefano FerracutiPaolo Roma","2023","http://link.springer.com/article/10.1007/s10610-023-09550-0","Article"
"Time series analysis with apache spark and its applications to energy informatics","Energy Informatics","","1","1","10.1186/s42162-018-0043-1","Cornelia KromeVolker Sander","2018","http://link.springer.com/article/10.1186/s42162-018-0043-1","Article"
"Climate change in Bangladesh: a spatio-temporal analysis and simulation of recent temperature and rainfall data using GIS and time series analysis model","Theoretical and Applied Climatology","","128","1 - 2","10.1007/s00704-015-1688-3","Md. Rejaur RahmanHabibah Lateh","2017","http://link.springer.com/article/10.1007/s00704-015-1688-3","Article"
"Time Series Modeling of Methane Gas in Underground Mines","Mining, Metallurgy & Exploration","","39","5","10.1007/s42461-022-00654-5","Juan DiazZach AgioutantisDionissios T. HristopulosSteven SchafrikKray Luxbacher","2022","http://link.springer.com/article/10.1007/s42461-022-00654-5","Article"
"The study of seismicity of Alborz (Northern Iran) and Zagros (Southern Iran) regions by using time series analysis","Acta Geophysica","","70","1","10.1007/s11600-021-00701-7","Mohammad RahimiAhmad ZamaniAli Reza Ghotbi","2022","http://link.springer.com/article/10.1007/s11600-021-00701-7","Article"
"Time series analysis of temporal networks","The European Physical Journal B","","89","1","10.1140/epjb/e2015-60654-7","Sandipan SikdarNiloy GangulyAnimesh Mukherjee","2016","http://link.springer.com/article/10.1140/epjb/e2015-60654-7","Article"
"Forecasting Model of Construction Cost Index Based on VECM with Search Query","KSCE Journal of Civil Engineering","","22","8","10.1007/s12205-017-0897-y","Taenam MoonDo Hyoung Shin","2018","http://link.springer.com/article/10.1007/s12205-017-0897-y","Article"
"Building a Lucy hybrid model for grocery sales forecasting based on time series","The Journal of Supercomputing","","79","4","10.1007/s11227-022-04824-6","Duy Thanh TranJun-Ho HuhJae-Hwan Kim","2023","http://link.springer.com/article/10.1007/s11227-022-04824-6","Article"
"Seasonal time-series modeling and forecasting of monthly mean temperature for decision making in the Kurdistan Region of Iraq","Journal of Statistical Theory and Practice","","11","4","10.1080/15598608.2017.1292484","Tara Ahmed ChawsheenMark Broom","2017","http://link.springer.com/article/10.1080/15598608.2017.1292484","Article"
"An integrated approach implementing sliding window and DTW distance for time series forecasting tasks","Applied Intelligence","","","","10.1007/s10489-023-04590-9","Zhifu TaoQinghua XuXi LiuJinpei Liu","2023","http://link.springer.com/article/10.1007/s10489-023-04590-9","Article"
"A multivariate short-term traffic flow forecasting method based on wavelet analysis and seasonal time series","Applied Intelligence","","48","10","10.1007/s10489-018-1181-7","Hong ZhangXiaoming WangJie CaoMinan TangYirong Guo","2018","http://link.springer.com/article/10.1007/s10489-018-1181-7","Article"
"Forecasting performance of nonlinear time-series models: an application to weather variable","Modeling Earth Systems and Environment","","6","4","10.1007/s40808-020-00826-6","Md. KarimuzzamanMd. Moyazzem Hossain","2020","http://link.springer.com/article/10.1007/s40808-020-00826-6","Article"
"Seasonal time series forecasting by the Walsh-transformation based technique","Central European Journal of Operations Research","","28","3","10.1007/s10100-019-00614-3","E. BajalinovSz. Duleba","2020","http://link.springer.com/article/10.1007/s10100-019-00614-3","Article"
"Autoregressive models in environmental forecasting time series: a theoretical and application review","Environmental Science and Pollution Research","","30","8","10.1007/s11356-023-25148-9","Jatinder KaurKulwinder Singh ParmarSarbjit Singh","2023","http://link.springer.com/article/10.1007/s11356-023-25148-9","Article"
"Carbon footprint forecasting using time series data mining methods: the case of Turkey","Environmental Science and Pollution Research","","28","29","10.1007/s11356-021-13431-6","Müge AkyolEmine Uçar","2021","http://link.springer.com/article/10.1007/s11356-021-13431-6","Article"
"Time series forecasting on cooling degree-days (CDD) using SARIMA model","Natural Hazards","","","","10.1007/s11069-023-06109-4","Mehmet Bilgili","2023","http://link.springer.com/article/10.1007/s11069-023-06109-4","Article"
"Correlation and time-series analysis of black carbon in the coal mine regions of India: a case study","Modeling Earth Systems and Environment","","6","2","10.1007/s40808-020-00719-8","Sidhu Jitendra Singh MakkhanKulwinder Singh ParmarSachin KaushalKirti Soni","2020","http://link.springer.com/article/10.1007/s40808-020-00719-8","Article"
"Forecasting of methane gas in underground coal mines: univariate versus multivariate time series modeling","Stochastic Environmental Research and Risk Assessment","","37","6","10.1007/s00477-023-02382-8","Juan DiazZach AgioutantisDionissios T. HristopulosKray LuxbacherSteven Schafrik","2023","http://link.springer.com/article/10.1007/s00477-023-02382-8","Article"
"Time series analysis of foodborne diseases during 2012–2018 in Shenzhen, China","Journal of Consumer Protection and Food Safety","","17","1","10.1007/s00003-021-01346-w","Siguo LiZhao PengYan ZhouJinzhou Zhang","2022","http://link.springer.com/article/10.1007/s00003-021-01346-w","Article"
"Epidemiological and time series analysis on the incidence and death of AIDS and HIV in China","BMC Public Health","","20","1","10.1186/s12889-020-09977-8","Bin XuJiayuan LiMengqiao Wang","2020","http://link.springer.com/article/10.1186/s12889-020-09977-8","Article"
"A Comparison Between Seasonal Autoregressive Integrated Moving Average (SARIMA) and Exponential Smoothing (ES) Based on Time Series Model for Forecasting Road Accidents","Arabian Journal for Science and Engineering","","46","11","10.1007/s13369-021-05650-3","Muhammad Babar Ali RabbaniMuhammad Ali MusaratWesam Salah AlaloulMuhammad Shoaib RabbaniAhsen MaqsoomSaba AyubHamna BukhariMuhammad Altaf","2021","http://link.springer.com/article/10.1007/s13369-021-05650-3","Article"
"An optimized time series combined forecasting method based on neural networks","The Journal of Supercomputing","","76","4","10.1007/s11227-019-03064-5","Kaiyi ZhaoLi LiSaihua CaiRuizhi Sun","2020","http://link.springer.com/article/10.1007/s11227-019-03064-5","Article"
"Electronic part obsolescence forecasting based on time series modeling","International Journal of Precision Engineering and Manufacturing","","18","5","10.1007/s12541-017-0092-6","Jungmok MaNamhun Kim","2017","http://link.springer.com/article/10.1007/s12541-017-0092-6","Article"
"An improved deep echo state network inspired by tissue-like P system forecasting for non-stationary time series","Journal of Membrane Computing","","4","3","10.1007/s41965-022-00103-8","Xiaojian YangQian LiuXiyu LiuJie Xue","2022","http://link.springer.com/article/10.1007/s41965-022-00103-8","Article"
"Trends of reported human brucellosis cases in mainland China from 2007 to 2017: an exponential smoothing time series analysis","Environmental Health and Preventive Medicine","","23","1","10.1186/s12199-018-0712-5","Peng GuanWei WuDesheng Huang","2018","http://link.springer.com/article/10.1186/s12199-018-0712-5","Article"
"Time series analysis of groundwater quality at selected sites of Purba and Paschim Burdwan, West Bengal, India","Environmental Monitoring and Assessment","","195","9","10.1007/s10661-023-11627-6","Sanghamitra SanyalSanchari SarkarMoitreyee Chakrabarty","2023","http://link.springer.com/article/10.1007/s10661-023-11627-6","Article"
"Compositional time series analysis for Air Pollution Index data","Stochastic Environmental Research and Risk Assessment","","32","10","10.1007/s00477-018-1542-0","Nasr Ahmed AL-DhurafiNurulkamal MasseranZamira Hasanah Zamzuri","2018","http://link.springer.com/article/10.1007/s00477-018-1542-0","Article"
"Multivariate time series analysis on the dynamic relationship between Class B notifiable diseases and gross domestic product (GDP) in China","Scientific Reports","","6","1","10.1038/s41598-016-0020-5","Tao ZhangFei YinTing ZhouXing-Yu ZhangXiao-Song Li","2016","http://link.springer.com/article/10.1038/s41598-016-0020-5","Article"
"Forecasting MSW generation using artificial neural network time series model: a study from metropolitan city","SN Applied Sciences","","1","11","10.1007/s42452-019-1382-7","Sk Ajim AliAteeque Ahmad","2019","http://link.springer.com/article/10.1007/s42452-019-1382-7","Article"
"A Novel Forecasting Method Based on F-Transform and Fuzzy Time Series","International Journal of Fuzzy Systems","","19","6","10.1007/s40815-017-0354-6","Woo-Joo LeeHye-Young JungJin Hee YoonSeung Hoe Choi","2017","http://link.springer.com/article/10.1007/s40815-017-0354-6","Article"
"Discrepancy-Based Theory and Algorithms for Forecasting Non-Stationary Time Series","Annals of Mathematics and Artificial Intelligence","","88","4","10.1007/s10472-019-09683-1","Vitaly KuznetsovMehryar Mohri","2020","http://link.springer.com/article/10.1007/s10472-019-09683-1","Article"
"Nonlinear time series modeling and forecasting the seismic data of the Hindu Kush region","Journal of Seismology","","22","1","10.1007/s10950-017-9710-0","Muhammad Yousaf KhanStefan Mittnik","2018","http://link.springer.com/article/10.1007/s10950-017-9710-0","Article"
"Characteristics of completed suicides after Greek financial crisis onset: A comparative time-series analysis study","Social Psychiatry and Psychiatric Epidemiology","","56","2","10.1007/s00127-020-01939-0","Antonios ParaschakisVasilios KarageorgiouVasiliki EfstathiouAthanassios DouzenisIlias BoyokasIoannis Michopoulos","2021","http://link.springer.com/article/10.1007/s00127-020-01939-0","Article"
"Smoothing and stationarity enforcement framework for deep learning time-series forecasting","Neural Computing and Applications","","33","20","10.1007/s00521-021-06043-1","Ioannis E. LivierisStavros StavroyiannisLazaros IliadisPanagiotis Pintelas","2021","http://link.springer.com/article/10.1007/s00521-021-06043-1","Article"
"tofee-tree: automatic feature engineering framework for modeling trend-cycle in time series forecasting","Neural Computing and Applications","","35","16","10.1007/s00521-021-06438-0","Santhosh Kumar SelvamChandrasekharan Rajendran","2023","http://link.springer.com/article/10.1007/s00521-021-06438-0","Article"
"A study of ANFIS-based multi-factor time series models for forecasting stock index","Applied Intelligence","","45","2","10.1007/s10489-016-0760-8","You-Shyang ChenChing-Hsue ChengChiung-Lin ChiuShu-Ting Huang","2016","http://link.springer.com/article/10.1007/s10489-016-0760-8","Article"
"Hesitant fuzzy set based computational method for financial time series forecasting","Granular Computing","","4","4","10.1007/s41066-018-00144-4","Kamlesh BishtSanjay Kumar","2019","http://link.springer.com/article/10.1007/s41066-018-00144-4","Article"
"A novel validation framework to enhance deep learning models in time-series forecasting","Neural Computing and Applications","","32","23","10.1007/s00521-020-05169-y","Ioannis E. LivierisStavros StavroyiannisEmmanuel PintelasPanagiotis Pintelas","2020","http://link.springer.com/article/10.1007/s00521-020-05169-y","Article"
"Forecasting of Price of Rice in India Using Long-Memory Time-Series Model","National Academy Science Letters","","44","4","10.1007/s40009-020-01002-1","Dipankar MitraRanjit Kumar Paul","2021","http://link.springer.com/article/10.1007/s40009-020-01002-1","Article"
"Forecasting the future of library and information science and its sub-fields","Scientometrics","","126","2","10.1007/s11192-020-03800-2","Zehra Taşkın","2021","http://link.springer.com/article/10.1007/s11192-020-03800-2","Article"
"A time-reversed model selection approach to time series forecasting","Scientific Reports","","12","1","10.1038/s41598-022-15120-x","Max SibeijnSérgio Pequito","2022","http://link.springer.com/article/10.1038/s41598-022-15120-x","Article"
"Long-term time-series pollution forecast using statistical and deep learning methods","Neural Computing and Applications","","33","19","10.1007/s00521-021-05901-2","Pritthijit NathPratik SahaAsif Iqbal MiddyaSarbani Roy","2021","http://link.springer.com/article/10.1007/s00521-021-05901-2","Article"
"Reply to Discussion of “Bayesian forecasting of multivariate time series: scalability, structure uncertainty and decisions”","Annals of the Institute of Statistical Mathematics","","72","1","10.1007/s10463-019-00744-0","Mike West","2020","http://link.springer.com/article/10.1007/s10463-019-00744-0","Article"
"Interval type-2 fuzzy set based time series forecasting using a data-driven partitioning approach","Evolving Systems","","13","5","10.1007/s12530-022-09452-2","Arthur Caio Vargas PintoThiago Esterci FernandesPetrônio C. L. SilvaFrederico G. GuimarãesChristian WagnerEduardo Pestana de Aguiar","2022","http://link.springer.com/article/10.1007/s12530-022-09452-2","Article"
"Application of optimized Support Vector Machine in monthly streamflow forecasting: using Autocorrelation Function for input variables estimation","Sustainable Water Resources Management","","7","3","10.1007/s40899-021-00506-y","Kevin ChristianAndreas F. V. RoyDoddi YudiantoDanrong Zhang","2021","http://link.springer.com/article/10.1007/s40899-021-00506-y","Article"
"Temporal pattern attention for multivariate time series forecasting","Machine Learning","","108","8 - 9","10.1007/s10994-019-05815-0","Shun-Yao ShihFan-Keng SunHung-yi Lee","2019","http://link.springer.com/article/10.1007/s10994-019-05815-0","Article"
"BiLSTM model based on multivariate time series data in multiple field for forecasting trading area","Journal of Ambient Intelligence and Humanized Computing","","","","10.1007/s12652-019-01398-9","Jinah KimNammee Moon","2019","http://link.springer.com/article/10.1007/s12652-019-01398-9","Article"
"Prediction of groundwater level variations based on gravity recovery and climate experiment (GRACE) satellite data and a time-series analysis: a case study in the Lake Urmia basin, Iran","Environmental Earth Sciences","","81","6","10.1007/s12665-022-10296-x","Hawzhin ZarinmehrA. Taheri TizroAlan E. FryarM. Khodamorad PourRojin Fasihi","2022","http://link.springer.com/article/10.1007/s12665-022-10296-x","Article"
