"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Fraud Detection of Electricity Consumption Using Robust Exponential and Holt-Winters Smoothing Method","D. Azzouguer; A. Sebaa; D. Hadjout; F. Martínez–Álvarez","Laboratoire LITAN, École supérieure en Sciences et Technologies de l'Informatique et du Numérique, Bejaia, Algérie; Laboratoire LITAN, École supérieure en Sciences et Technologies de l'Informatique et du Numérique, Bejaia, Algérie; Data Science & Big Data Lab, Pablo de Olavide University, Spain; Data Science & Big Data Lab, Pablo de Olavide University, Spain","2023 IEEE International Conference on Advanced Systems and Emergent Technologies (IC_ASET)","20 Jun 2023","2023","","","01","06","Non-technical losses (NTL), especially fraud detection is very important for electricity distribution enterprises. Fraud detection allows for maximizing the effective economic return for such enterprises. This paper provides an electricity fraud detection approach based on robust exponential and Holt-Winters Smoothing methods. The proposed approach is a procedure that aims to discover the fraudulent behavior of electricity consumers and goes through three crucial steps: (1) the prediction of monthly consumption, (2) the detection of abnormal consumption of electrical meters, and (3) the detection of fraud cases of economic customers. The proposed model was trained and evaluated. Its experimental validation is achieved by using a large dataset of real users from the Algerian economic sector with almost 2000 clients and 14 years of monthly electricity consumption. The proposed solution revealed good performance compared to the literature and the comparison with the models implemented in this article: SARIMA for prediction and two sigma for anomaly detection. The results show highly efficient and realistic countermeasures to fraud detection, which leads us to say that this method is robust and can enhance company profit.","","979-8-3503-2102-9","10.1109/IC_ASET58101.2023.10150645","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10150645","Fraud Detection;Electricity consumption;Holt-Winters Smoothing method","Economics;Meters;Measurement;Smoothing methods;Time series analysis;Companies;Predictive models","electricity supply industry;forecasting theory;fraud;power consumption;power meters;smoothing methods;time series","anomaly detection;electrical meters;electricity consumers;electricity distribution enterprises;electricity fraud detection approach;fraud cases;Holt-Winters;monthly electricity consumption;robust exponential;time 14.0 year","","","","17","IEEE","20 Jun 2023","","","IEEE","IEEE Conferences"
"Long Short-Term Memory Networks for Forecasting Demand in the Case of Automotive Manufacturing Industry","H. Oukassi; M. Hasni; S. B. Layeb","National Engineering School of Tunis, University of Tunis El Manar, Tunis, Tunisia; LR-OASIS, National Engineering School of Tunis, University of Tunis El Manar, Tunis, Tunisia; LR-OASIS, National Engineering School of Tunis, University of Tunis El Manar, Tunis, Tunisia","2023 IEEE International Conference on Advanced Systems and Emergent Technologies (IC_ASET)","20 Jun 2023","2023","","","01","06","With the rising of deep learning, neural networks have shown promising results for time series forecasting. In this paper, we investigate a deep learning-based approach for the demand forecasting method: the Long Short-Term Memory (LSTM) with the so-called Seq-2-Seq encoder-decoder architecture. To assess the performance of the proposed approach, a real-world case study was conducted for a Japanese company in the automotive manufacturing industry. In addition, the performance of the LSTM-based method is compared to the usually-used AutoRegressive Integrated Moving Average (ARIMA) method via several statistical metrics such as MSE and RMSE. The numerical experiments showed that the proposed LSTM based-approach outperforms ARIMA.","","979-8-3503-2102-9","10.1109/IC_ASET58101.2023.10150543","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10150543","Demand Forecasting;Automotive industry;ARIMA;LSTM;Seq-2-Seq","Manufacturing industries;Measurement;Deep learning;Time series analysis;Neural networks;Demand forecasting;Companies","automobile industry;automobile manufacture;autoregressive moving average processes;deep learning (artificial intelligence);demand forecasting;forecasting theory;recurrent neural nets;time series","ARIMA;automotive manufacturing industry;autoregressive integrated moving average method;deep learning-based approach;demand forecasting method;Japanese company;long short-term memory networks;LSTM-based method;neural networks;Seq-2-Seq encoder-decoder architecture;statistical metrics;time series forecasting","","","","23","IEEE","20 Jun 2023","","","IEEE","IEEE Conferences"
"The Secret Sauce of Student Success: Cracking the Code by Navigating the Path to Personalized Learning with Educational Data Mining","A. Alam","Rekhi Centre of Excellence for the Science of Happiness Indian Institute of Technology, Kharagpur, West Bengal, India","2023 2nd International Conference on Smart Technologies and Systems for Next Generation Computing (ICSTSN)","19 Jun 2023","2023","","","1","8","The growing need for tailored learning experiences in post-secondary education has resulted in the adoption of educational data mining (EDM) methodologies to derive significant insights from educational data. The existing scholarly literatures suggest the utilisation of adaptive learning algorithms that integrate various data sources, such as student demographic information, academic performance, and physiological data, to offer individualised learning experiences for students. The algorithms have the capability to modulate the tempo of educational content in response to the cognitive burden experienced by students, which is gauged by their brainwave activity. This study explores the application of predictive models, such as classification, regression, and time-series analysis, in detecting patterns and trends in past data for the purpose of forecasting students’ forthcoming academic achievements. Predictive models have the potential to assist educators in making well-informed decisions aimed at enhancing course outcomes. This research introduces an approach to course improvement analytics that utilises diverse data sources, including student academic records, demographic data, and external platforms such as social media and online forums, to optimise educational results. Through the examination of this data, academic professionals can acquire valuable knowledge regarding student involvement, achievement, and conduct. The present study establishes that the utilisation of course improvement analytics yields valuable information regarding student engagement and behaviour, thereby enabling educators to make informed decisions aimed at enhancing students’ learning outcomes.","","979-8-3503-4800-2","10.1109/ICSTSN57873.2023.10151558","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10151558","Educational Data Mining;Machine Learning;Learning Analytics;Student Peformance;Learning Management Systems;Educational Games;Data Analysis;Personalized Learning","Ethics;Social networking (online);Soft sensors;Scholarships;Time series analysis;Predictive models;Market research","computer aided instruction;data mining;educational administrative data processing;educational courses;social networking (online)","academic performance;academic professionals;adaptive learning algorithms;classification analysis;course improvement analytics;demographic data;diverse data sources;educational content;educational data mining methodologies;educational results;personalized learning;physiological data;post-secondary education;predictive models;regression analysis;student academic records;student demographic information;student engagement;student success;tailored learning experiences;time-series analysis","","","","37","IEEE","19 Jun 2023","","","IEEE","IEEE Conferences"
"An Enhanced Method on Using Deep Learning Techniques in Supply Chain Management","D. Praveenadevi; S. P. Sreekala; B. Girimurugan; K. V. R. Krishna Teja; G. Naga Kamal; A. C. Chandra","KL Business School, Koneru Lakshmaiah Education Foundation (Deemed to be University), Andhra Pradesh, India; Research and Development Cell, KPR College of Arts Science and Research, Coimbatore, Tamilnadu, India; KL Business School, Koneru Lakshmaiah Education Foundation (Deemed to be University), Andhra Pradesh, India; KL Business School, Koneru Lakshmaiah Education Foundation (Deemed to be University), Andhra Pradesh, India; KL Business School, Koneru Lakshmaiah Education Foundation (Deemed to be University), Andhra Pradesh, India; KL Business School, Koneru Lakshmaiah Education Foundation (Deemed to be University), Andhra Pradesh, India","2023 International Conference on Disruptive Technologies (ICDT)","19 Jun 2023","2023","","","210","213","One of the most significant issues that supply networks are currently facing is accurately estimating the level of demand for their products. Along with improving stock management and reducing overhead costs, some of the goals of the plan included growing sales, earnings, and customer base. The evaluation of historical data with the purpose of improving demand forecasting can be accomplished with the assistance of several different methods, some of which include methodologies based on machine learning, time series analysis, and deep learning models. This can be done to improve the accuracy of demand forecasting. The purpose of this investigation is to design an insightful strategy for forecasting future demand. In this paper, we develop an enhanced model to support the supply chain management and it uses a deep learning model to improve the process of supply chain management. The deep learning model is trained, tested and validated to improve the process of supplying the products via supply chain. The simulation is carried out in python for a set of objects that to be tracked and the results show that the model achieves higher accuracy of sending the products.","","979-8-3503-2388-7","10.1109/ICDT57929.2023.10151338","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10151338","Supply chain;deep learning;products","Deep learning;Training;Supply chain management;Supply chains;Time series analysis;Demand forecasting;Predictive models","deep learning (artificial intelligence);demand forecasting;production engineering computing;Python;supply chain management;time series","deep learning techniques;demand forecasting;machine learning;python;stock management;supply chain management;time series analysis","","","","12","IEEE","19 Jun 2023","","","IEEE","IEEE Conferences"
"Delhi Air Pollution Prediction: A Comparative Analysis using Time Series Forecasting","S. Singh; V. Kumar; Z. Ahmed; K. Mittal","Department of Computer Science & Engineering, School of Engineering & Technology, Sharda University, Greater Noida, India; Department of Computer Science & Engineering, School of Engineering & Technology, Sharda University, Greater Noida, India; Department of Computer Science & Engineering, School of Engineering & Technology, Sharda University, Greater Noida, India; Department of Computer Science & Engineering, School of Engineering & Technology, Sharda University, Greater Noida, India","2023 International Conference on Disruptive Technologies (ICDT)","19 Jun 2023","2023","","","604","608","Recent years have seen a substantial increase in study on air pollution as a result of its negative ramifications It is also acknowledged as one in the current atmosphere. one of the main risk elements. Accurate air quality assessment is the first stage in the implementation of air pollution control systems, which helps in the growth of developed nations' economies and societies. the two methodical Accurate air quality predictions are essential for emissions control, public health, and wellbeing. The metropolis of India, Delhi, has been the most polluted metropolis in the world for the past two years. In this study, the results have been compared using SARIMAX, Prophet, and LSTM are three distinct machine learning algorithms that were tested against one another. The same quantity of parameter calibration was applied to all the models, and SARIMAX seems to be more reliable out of the three.","","979-8-3503-2388-7","10.1109/ICDT57929.2023.10151445","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10151445","Air pollution;Machine Learning;SARIMAX;Prophet;LSTM","Machine learning algorithms;Biological system modeling;Time series analysis;Air pollution;Control systems;Calibration;Reliability","air pollution;air pollution control;air quality;environmental science computing;learning (artificial intelligence);recurrent neural nets;regression analysis;time series","Accurate air quality assessment;air pollution control systems;comparative analysis;current atmosphere;Delhi air pollution prediction;developed nations;emissions control;main risk elements;methodical Accurate air quality predictions;negative ramifications;polluted metropolis;time series forecasting","","","","16","IEEE","19 Jun 2023","","","IEEE","IEEE Conferences"
"Wind Speed Prediction using Machine Learning Techniques","N. Pati; M. K. Gourisaria; H. Das; D. Banik","School of Computer Engineering, KIIT Deemed to be University, Bhubaneswar, Odisha; School of Computer Engineering, KIIT Deemed to be University, Bhubaneswar, Odisha; School of Computer Engineering, KIIT Deemed to be University, Bhubaneswar, Odisha; School of Computer Engineering, KIIT Deemed to be University, Bhubaneswar, Odisha","2023 11th International Conference on Emerging Trends in Engineering & Technology - Signal and Information Processing (ICETET - SIP)","19 Jun 2023","2023","","","1","6","Wind energy is a free source of renewable energy. In order to ensure that the wind energy is utilized to its maximum extent, the wind energy potential must be evaluated. For this, we need to forecast the wind speed as wind energy is directly proportional to the cube of wind speed. But wind speed forecasting is very difficult as there are issues like scheduling of power system along with control of wind turbine dynamically. To this aim, we investigated different Machine Learning algorithms, namely Autoregressive Integrated Moving Average (ARIMA), Long Short-Term memory (LSTM) that helped in sequential data prediction, linear tree regression, decision tree and random forest. The data was recorded from a place where a device was located in an empty area, at 21M. The results were evaluated on the basis of three metrics namely, Mean Absolute Error, Mean Square Error and Root Mean Square Error. The result shows that LSTM has the least Mean Absolute Error but there is a scope of improvement in terms of accuracy that are obtained in comparison to the persistent method. Moreover, the selection of the best algorithm in order to have the best result also depends upon the data sources. This study helps in accurate wind speed forecasting that becomes a necessity to schedule dispatchable generation in the day-ahead electricity market.","2157-0485","979-8-3503-4842-2","10.1109/ICETET-SIP58143.2023.10151597","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10151597","Wind speed prediction;Machine learning;Artificial Intelligence;Linear tree regression;Decision tree;Random Forest","Schedules;Machine learning algorithms;Wind energy;Wind speed;Soft sensors;Wind turbines;Forecasting","autoregressive moving average processes;decision trees;learning (artificial intelligence);mean square error methods;power engineering computing;power markets;random forests;recurrent neural nets;regression analysis;time series;wind power;wind power plants;wind turbines","accurate wind speed forecasting;Machine Learning techniques;Mean Absolute Error;renewable energy;wind energy potential;wind speed prediction;wind turbine dynamically","","","","17","IEEE","19 Jun 2023","","","IEEE","IEEE Conferences"
"Forecasting of Outpatient Hospital Visits using A Bidirectional Long Short-Term Memory Model","N. I. Ab Kader; U. K. Yusof; M. N. Akmal Khalid","School of Computer Sciences, Universiti Sains Malaysia, Penang, Malaysia; School of Computer Sciences, Universiti Sains Malaysia, Penang, Malaysia; School of Information Science, Japan Advance Institute of Science and Technology, Nomi, Ishikawa, Japan","2023 8th International Conference on Business and Industrial Research (ICBIR)","19 Jun 2023","2023","","","1003","1008","Recently, accurate predicting outpatient visits is crucial in healthcare for optimizing service delivery and resource allocation. Time series models, particularly Deep Learning (DL) methods, have gained popularity in predicting demand and can potentially be used to predict demand for medical services, including outpatient hospital visits. This study aims to assess the potential of Bidirectional Long Short-Term Memory (Bi-LSTM) model in accurately predicting outpatient visits. The proposed model was tested with different set of parameters. Two important parameters adjusted in this study which are batch size and number of hidden nodes. The study also compares the performance of Bi-LSTM with other LSTM architectures, such as Vanilla LSTM and Stack LSTM. The results obtained show that Bi-LSTM performs best with batch size 64 and 10 hidden neurons. Besides, the results yielded indicate that the Bi-LSTM model performs exceptionally well with higher accuracy compared to other LSTM architectures. Overall, this study offers valuable insights into the use of Bi-LSTM models for predicting the number of outpatient visits.","","979-8-3503-9964-6","10.1109/ICBIR57571.2023.10147645","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10147645","forecasting;time series;long short-term memory;healthcare;outpatient","Deep learning;Hospitals;Neurons;Time series analysis;Decision making;Predictive models;Resource management","deep learning (artificial intelligence);health care;hospitals;recurrent neural nets;resource allocation;time series","10 hidden neurons;accurate predicting;Bi-LSTM model performs;Bi-LSTM models;Bi-LSTM performs;Bidirectional Long Short-Term Memory model;Deep Learning methods;LSTM architectures;medical services;outpatient hospital visits;outpatient visits;resource allocation;service delivery;Stack LSTM;time series models;Vanilla LSTM","","","","19","IEEE","19 Jun 2023","","","IEEE","IEEE Conferences"
"Forecasting the Maize Export Using Time Series Analysis","J. Whasphuttisit; W. Jitsakul","Faculty of Information Technology and Digital Innovation King Mongkut's, University of Technology North Bangkok (KMUTNB), Bangkok, Thailand; Faculty of Information Technology and Digital Innovation King Mongkut's, University of Technology North Bangkok (KMUTNB), Bangkok, Thailand","2023 8th International Conference on Business and Industrial Research (ICBIR)","19 Jun 2023","2023","","","907","912","This research aims to study the suitable time series analysis to forecast Maize exports over the next twelve months. The time series data source was gathered from the Office of SMEs Promotion monthly from January 2013 to December 2022 (120 months). We selected Thailand's maize export value to Myanmar, which continuously exports maize. The experiment begins with preparation, selection, and verification. Time series analysis was considered by two methods: Decomposition and Box-Jenkin's (SARIMA) method. We used Mean Absolute Percentage Error (MAPE) to compare and select the lowest value. The results showed that the maize exports value from January 2013 to December 2022 has been increasing. The highest period of maize export value was in March, and the lowest was in July. The Decomposition method has the lowest mean absolute percentage error (MAPE), equal to 2.6372. Decomposition is a suitable technique. It can forecast the maize exporting over the next twelve months. In the next twelve months, the forecast maize export value will decrease from 2022.","","979-8-3503-9964-6","10.1109/ICBIR57571.2023.10147480","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10147480","Time Series Analysis;Decomposition;Box Jenkins Method;Maize","Exchange rates;Recurrent neural networks;Soft sensors;Time series analysis;Production planning;Time measurement;Forecasting","crops;econophysics;forecasting theory;international trade;time series","AD 2013 01 to 2022 12;Box-Jenkin's method;Decomposition method;forecast Maize exports;lowest mean absolute percentage error;maize exports value;suitable time series analysis;Thailand's maize export value;time 120.0 month;time series data source","","","","12","IEEE","19 Jun 2023","","","IEEE","IEEE Conferences"
"Integrated Forecasting Models Based on LSTM and TCN for Short-Term Electricity Load Forecasting","K. Zuo","School of Electrical and New Energy, China Three Gorges University, Yichang, China","2023 9th International Conference on Electrical Engineering, Control and Robotics (EECR)","16 Jun 2023","2023","","","207","211","Electricity load forecasting is an important prerequisite for ensuring the stability and reliability of regional power systems. Researchers have proposed many combined forecasting models, but most of them cannot capture the global characteristics of the data properly. To further improve the accuracy of short-term power load forecasting, this paper proposes a combined forecasting model based on long short-term memory (LSTM) and temporal convolutional network (TCN). For the electricity load data, the LSTM forecasting model and TCN forecasting model are first established, and then the output results of LSTM and TCN are weighted together according to the inverse squared error ratio to obtain the combined LSTM-TCN forecasting model. The LSTM-TCN model has more advanced model performance and its error is significantly lower than that of the single forecasting model and other classical network models. The results show that the LSTM-TCN model has higher accuracy in short-term load forecasting.","","978-1-6654-9120-4","10.1109/EECR56827.2023.10149951","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10149951","electricity load forecasting;Long Short-term Memory (LSTM);Temporal Convolutional Network (TCN);inverse error square ratio","Load forecasting;Predictive models;Power system stability;Data models;Stability analysis;Convolutional neural networks;Reliability","convolutional neural nets;load forecasting;power engineering computing;recurrent neural nets;time series","advanced model performance;classical network models;combined forecasting model;combined LSTM-TCN forecasting model;electricity load data;electricity load forecasting;integrated forecasting models;LSTM forecasting model;LSTM-TCN model;regional power systems;short-term electricity load;short-term load forecasting;short-term memory;short-term power load forecasting;single forecasting model","","","","20","IEEE","16 Jun 2023","","","IEEE","IEEE Conferences"
"Weather Forecasting Using Deep Learning Algorithms","F. Ahmad; M. Tarik; M. Ahmad; M. Z. Ansari","Dept. of Computer Engineering, Jamia Millia Islamia, New Delhi, India; Dept. of Computer Engineering, Jamia Millia Islamia, New Delhi, India; Dept. of Computer Engineering, Jamia Millia Islamia, New Delhi, India; Dept. of Computer Engineering, Jamia Millia Islamia, New Delhi, India","2023 International Conference on Recent Advances in Electrical, Electronics & Digital Healthcare Technologies (REEDCON)","16 Jun 2023","2023","","","498","502","Weather forecasting aims to predict atmospheric conditions at a particular time and place. Timely alert of weather events is made possible through weather forecasting. For instance, accurate weather predictions enable us to offer early warning of natural disasters that significantly destroy both lives and property, such as cyclones, tsunamis, cloud bursts, etc. The aim of weather scientists has always been to provide accurate weather forecasts in a timely manner. Formerly, pattern recognition was frequently used for weather forecasting and all of such predictions have been lacking performance as far as accurate and precise forecasting is concern. As the conventional weather prediction techniques face a number of difficulties, such as: incomplete knowledge of physical processes, huge volumes of observational data are difficult to analyze, a need for strong computer resources, etc. To tackle these difficulties, this paper proposes to present an automatic weather forecasting model for short-range forecasting based on numerical and time series data using deep learning algorithms. This paper compares and assesses the performance of models created with various transfer functions in order to investigate the applicability of time series algorithms such as LSTM, GRU, and Bi-LSTM to develop an efficient and trustworthy nonlinear forecasting model for automatic weather analysis.","","978-1-6654-9382-6","10.1109/REEDCON57544.2023.10150439","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10150439","Weather forecast;Deep Learning;LSTM (long short-term memory);GRU (Gated Recurrent Unit)","Deep learning;Analytical models;Computational modeling;Time series analysis;Weather forecasting;Transfer functions;Predictive models","atmospheric techniques;disasters;weather forecasting","accurate weather forecasts;accurate weather predictions;automatic weather analysis;automatic weather forecasting model;conventional weather prediction techniques;deep learning algorithms;efficient forecasting model;natural disasters;nonlinear forecasting model;weather events;weather scientists","","","","15","IEEE","16 Jun 2023","","","IEEE","IEEE Conferences"
