"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Time Series Forecasting to Fill Missing Data in IoT Sensor Data","P. D. Rosero-Montalvo; P. Tözün; W. Hernandez","Computer Science department, IT University of Copenhagen, Denmark; Computer Science department, IT University of Copenhagen, Denmark; Facultad de Ingenieria y Ciencias Aplicadas, Universidad de Las Americas, Quito, Ecuador","IEEE Sensors Letters","","2023","PP","99","1","4","IoT devices have been deployed in different Industrial applications due to their feasible implementation thanks to the modern toolsets and many sensor brands to select the adequate sensor. However, even when their main task is collecting data, there are challenges, such as working in unpredictable environments, which can affect the communication channel and sensors' functionalities, which could cause the loss of information. On the other hand, statistical and deep learning-based forecasting methods can fill in missing data. In this work, we investigate those forecasting algorithms to select the best one for different data measurements in a real-world setting, such as temperature, humidity, and CO2. Based on our results, the Holt-Winters methods were selected to forecast the temperature and CO2, and Long-Short-Term Memory was used to forecast humidity. These models were then trained in the Edge-scale servers to define their computational requirements and feasibility to be exported to a microcontroller.","2475-1472","","10.1109/LSENS.2023.3307072","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10225693","Industrial Internet of Things;wireless sensor network;missing value filling;Artificial Intelligence. Forecasting methods","Sensors;Predictive models;Internet of Things;Forecasting;Time series analysis;Market research;Data models","","","","","","","IEEE","21 Aug 2023","","","IEEE","IEEE Early Access Articles"
"An EWT-EnsemLSTM-LSSA model for metro passengers volume prediction","K. Liao; W. Zhou","College of Information Sciences and Technology, Donghua University, Shanghai, China; College of Information Sciences and Technology, Donghua University, Shanghai, China","IEEE Access","","2023","PP","99","1","1","Metro passenger volume prediction is an incredibly significant issue when it comes to traffic flow prediction problems. The accurate prediction of passenger flow is not only beneficial but necessary to adjust public transportation systems. As such, metro passenger volume prediction has become a crucial issue in the realm of Intelligent Transportation Systems (ITS). In this paper, a novel model called EWT-EnsemLSTM-LSSA has been proposed to deal with the complex issue of passenger flow prediction. This model assembles empirical wavelet transform (EWT), long short-term memory (LSTM), support vector regression (SVR), and logistic mapping sparrow search algorithm (LSSA) to create a comprehensive and robust solution. To start with, EWT is implemented to decompose the original dataset into five wavelet time-sequence data series for further prediction. A cluster of LSTMs with varying hidden layers and neuron counts is then deployed to scrutinize and exploit the implicit information within the EWT-decomposed signals. Subsequently, the output of LSTMs is integrated into a non-linear regression method SVR. Finally, LSSA is engaged to optimize the SVR automatically. The EWT-EnsemLSTM-LSSA model is put to the test in three case studies, employing data collected from the metro of Minneapolis, America, and Hangzhou, China. The results of these experiments are truly remarkable, as they indicate that the proposed model outperforms its conventional counterparts by reducing the mean average error to 189.27 and the root mean square error to 260.36 in Minneapolis data, and the mean average error to 24.97 and the root mean square error to 41.75 in Hangzhou data.","2169-3536","","10.1109/ACCESS.2023.3307184","Natural Science Foundation of Shanghai(grant numbers:no. 20ZR1402800); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10225517","Traffic volume prediction;Time series analysis;Empirical wavelet transform (EWT);Long short term memory (LSTM);Support vector regression (SVR);logistic mapping Sparrow search algorithm (LSSA)","Prediction algorithms;Predictive models;Logic gates;Computer architecture;Support vector machines;Microprocessors;Forecasting;Time series analysis;Wavelet transforms;Traffic control;Public transportation","","","","","","","CCBYNCND","21 Aug 2023","","","IEEE","IEEE Early Access Articles"
"Improving the Efficiency of Deep Learning Models using Supervised Approach for Load Forecasting of Electric Vehicles","T. Rasheed; A. R. Bhatti; M. Farhan; A. Rasool; T. H. M. El-Fouly","Department of Electrical Engineering and Technology, Government College University Faisalabad, Punjab, Pakistan; Department of Electrical Engineering and Technology, Government College University Faisalabad, Punjab, Pakistan; Department of Electrical Engineering and Technology, Government College University Faisalabad, Punjab, Pakistan; Department of Electrical Engineering, University of Botswana, Gaborone UB, Botswana; Department of Electrical Engineering and Computer Science, Khalifa University, Abu Dhabi, UAE","IEEE Access","","2023","PP","99","1","1","This research work proposes an Improved Supervised Learning (ISL)-based Deep Neural Network (DNN) for accurately forecasting the load demand of Electric Vehicles (EVs). This work incorporates Gated Recurrent Unit (GRU), Long Short Term Memory (LSTM), Recurrent Neural Network (RNN), Fully Connected (FC), and Convolutional Neural Network (CNN) architectures. The proposed ISL technique enhances prediction performance by refining the training process with additional features and information. Using a real-world EV charging dataset from Boulder City, USA, the simulations demonstrate consistent improvements in the GRU, LSTM, RNN, FC, and CNN models with the proposed ISL technique. Further, the proposed technique reduces the Normalised Root Mean Square Error (NRMSE) and Normalised Mean Absolute Error (NMAE) values. The accurate load demand predictions facilitated by the proposed models with ISL have significant implications for the planning and management of EV charging stations. This enables stakeholders to optimize resource allocation, effectively plan infrastructure capacity, and ensure the sustainable and reliable operation of grids in the face of increasing EV adoption. By leveraging deep learning architectures and incorporating the ISL technique, this research contributes to advancing load forecasting models for EVs, providing practical solutions for efficient management and planning in the evolving electric mobility landscape.","2169-3536","","10.1109/ACCESS.2023.3307022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10225522","Artificial Neural Network;Deep Learning;Electric Vehicles (EV);Load Forecasting;Supervised Learning","Load modeling;Logic gates;Predictive models;Charging stations;Load forecasting;Convolutional neural networks;Time series analysis;Artificial neural networks;Deep learning;Electric vehicles;Supervised learning","","","","","","","CCBYNCND","21 Aug 2023","","","IEEE","IEEE Early Access Articles"
"Performance Analysis of Machine Learning and ANN for Load Forecasting in Bangladesh","S. C. Pall; S. H. Cheragee; M. R. Mahamud; H. M. Mishu; H. Biswas","Electrical and Electronic Engineering Bangladesh University of Engineering and Technology, Dhaka, Bangladesh; Electrical and Electronic Engineering Bangladesh University of Engineering and Technology, Dhaka, Bangladesh; Institute of Information and Communication Technology Bangladesh University of Engineering and Technology, Dhaka, Bangladesh; Computer Science and Engineering Royal University of Dhaka, Dhaka, Bangladesh; Computer Science and Engineering Bangladesh University of Engineering and Technology, Dhaka, Bangladesh","2023 International Conference on Next-Generation Computing, IoT and Machine Learning (NCIM)","21 Aug 2023","2023","","","1","5","Electrical load forecasting is essential for energy suppliers and policymakers to operate and develop power plants and provide stable and dependable energy infrastructure in Bangladesh. Forecasting loads come in three different forms: short-, mid-, and long-term. Of these, forecasting short-term load keeps track of activities on a daily, weekly, and hourly basis, which is becoming more popular since it reduces time and costs. While designing and implementing the electric power system, mid-term forecasting of the load is a critical stage in organizing, maintaining, and preparing for interruptions. On the basis of the Pearson correlation matrix, Machine learning models like support vector regression(SVR) and linear regression(LR), and deep learning, i.e., multilayer perceptron (MLP) approaches presented in this paper. The recommended approaches are evaluated and compared depending on accuracy, mean absolute error (MAE), mean squared percentage error (MAPE), and root mean squared error(RMSE), using a dataset from Power Grid Company of Bangladesh Ltd. (PGCB). Forecasting results show that MLP for both cases exhibits the best accuracy of 98.947% and 99.217% with the least RMSE, MAPE, and MAE error rates in comparison with other models.","","979-8-3503-1600-1","10.1109/NCIM59001.2023.10212451","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10212451","load forecasting;LR;SVR;MLP;Cross-correlation;machine learning;deep learning","Deep learning;Support vector machines;Analytical models;Load forecasting;Time series analysis;Predictive models;Power system stability","","","","","","14","IEEE","21 Aug 2023","","","IEEE","IEEE Conferences"
"A Novel Hybrid Evolutionary Mating Algorithm for Covid19 Confirmed Cases Prediction based on Vaccination","M. Ahmed; A. J. Mohamad; M. Rahman; M. H. Sulaiman; M. A. Kashem","Faculty of Electrical & Electronics Engineering Technology, Universiti Malaysia Pahang (UMP), Pahang, Malaysia; Faculty of Electrical & Electronics Engineering Technology, Universiti Malaysia Pahang (UMP), Pahang, Malaysia; Department of Computer Science and Engineering, Green University of Bangladesh; Faculty of Electrical & Electronics Engineering Technology, Universiti Malaysia Pahang (UMP), Pahang, Malaysia; Department of Computer Science and Engineering, DUET, Gazipur, Bangladesh","2023 International Conference on Next-Generation Computing, IoT and Machine Learning (NCIM)","21 Aug 2023","2023","","","1","6","Microorganisms may cause illness when they enter the body, multiply, and spread to other parts. The rapid spread of COVID-19 to neighboring countries is examined in this research. Anticipating a positive COVID-19 occurrence helps in determining risks and creating countermeasures. As a result, developing robust mathematical models with small error margins for predictions is crucial. Based on these findings, a combined method of evaluating confirmed cases of COVID-19 with universal immunization is recommended. First, the best hyperparameter values of the RBF kernel-based LSSVM (least square support vector machine) were determined using the most recent Evolutionary Mating Algorithm (EMA). After that, LSSVM will complete the task of prediction. This hybrid method has been utilized for time series forecasting in Malaysia since the country's immunization program against COVID-19 got underway. We evaluate our results next to those of well-known methodologies in nature-inspired metaheuristics.","","979-8-3503-1600-1","10.1109/NCIM59001.2023.10212867","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10212867","Metaheuristics;Optimization;Prediction;Machine Learning;Covid-19 case","COVID-19;Support vector machines;Computational modeling;Time series analysis;Predictive models;Prediction algorithms;Vaccines","","","","","","21","IEEE","21 Aug 2023","","","IEEE","IEEE Conferences"
"Research on Electricity Load Demand Forecasting Algorithm Based on Adaptive Sliding Window Method and Attention Mechanism","L. Su; C. Zhang; H. Tan; H. Qin; S. Wang; G. Wu; Y. Xue","Customer Service Center China Southern Power Grid, Guangdong Power Grid, Guangzhou, China; College of Electric Power, South China University of Technology, Guangzhou, China; Customer Service Center China Southern Power Grid, Guangdong Power Grid, Guangzhou, China; Customer Service Center China Southern Power Grid, Guangdong Power Grid, Guangzhou, China; Customer Service Center China Southern Power Grid, Guangdong Power Grid, Guangzhou, China; Customer Service Center China Southern Power Grid, Guangdong Power Grid, Guangzhou, China; College of Electric Power, South China University of Technology, Guangzhou, China","2023 4th International Seminar on Artificial Intelligence, Networking and Information Technology (AINIT)","21 Aug 2023","2023","","","456","460","Household or building electricity load forecasting plays an important role for both consumers and electricity producers, but forecasting the electricity demand of individual energy consumers is challenging due to the inherent unpredictability and uncertainty of electricity loads. This paper proposes an LSTM model that combines an adaptive sliding window method with an attention mechanism. Add attention mechanism and sliding window features to improve the prediction accuracy of the model, especially for places where the trend of time series data changes greatly, it can better capture its complex time series patterns and trend changes. On this basis, this paper introduces a window size adaptive change method based on the neighborhood standard deviation, which describes the local change of the data in real time by calculating the standard deviation of the data in a given neighborhood, so that the model can automatically adjust the window size in real time to adapt to the input local features of the data. The performance of the proposed model is extensively compared with that of various baseline forecasting methods, and the comparisons show that the proposed model outperforms other electric load forecasting methods.","","979-8-3503-1452-6","10.1109/AINIT59027.2023.10212913","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10212913","electric load forecasting;sliding window;LSTM;attention mechanism","Adaptation models;Load forecasting;Time series analysis;Predictive models;Market research;Data models;Real-time systems","","","","","","14","IEEE","21 Aug 2023","","","IEEE","IEEE Conferences"
"CTFNet: Long-Sequence Time-Series Forecasting Based on Convolution and Time–Frequency Analysis","Z. Zhang; Y. Chen; D. Zhang; Y. Qian; H. Wang","School of Computer Science and Engineering and the Intelligent Service System and Application Laboratory, Southeast University, Nanjing, China; School of Computer Science and Engineering, Southeast University, Nanjing, China; School of Computer Science and Engineering and the Intelligent Service System and Application Laboratory, Southeast University, Nanjing, China; School of Computer Science and Engineering, Southeast University, Nanjing, China; School of Computer Science and Engineering and the Intelligent Service System and Application Laboratory, Southeast University, Nanjing, China","IEEE Transactions on Neural Networks and Learning Systems","","2023","PP","99","1","15","Although current time-series forecasting methods have significantly improved the state-of-the-art (SOTA) results for long-sequence time-series forecasting (LSTF), they still have difficulty in capturing and extracting the features and dependencies of long-term sequences and suffer from information utilization bottlenecks and high-computational complexity. To address these issues, a lightweight single-hidden layer feedforward neural network (SLFN) combining convolution mapping and time–frequency decomposition called CTFNet is proposed with three distinctive characteristics. First, time-domain (TD) feature mining—in this article, a method for extracting the long-term correlation of horizontal TD features based on matrix factorization is proposed, which can effectively capture the interdependence among different sample points of a long time series. Second, multitask frequency-domain (FD) feature mining—this can effectively extract different frequency feature information of time-series data from the FD and minimize the loss of data features. Integrating multiscale dilated convolutions, simultaneously focusing on both global and local context feature dependencies at the sequence level, and mining the long-term dependencies of the multiscale frequency information and the spatial dependencies among the different scale frequency information, break the bottleneck of data utilization, and ensure the integrity of feature extraction. Third, highly efficient—the CTFNet model has a short training time and fast inference speed. Our empirical studies with nine benchmark datasets show that compared with state-of-the-art methods, CTFNet can reduce prediction error by 64.7% and 53.7% for multivariate and univariate time series, respectively.","2162-2388","","10.1109/TNNLS.2023.3294064","NSFC Projects(grant numbers:U22A2026,62072097); Major Project of Fundamental Research on Frontier Leading Technology of Jiangsu Province(grant numbers:BK20222006); Key Research and Development Projects in Jiangsu Province(grant numbers:BE2021001-2); Collaborative Innovation Centers of Novel Software Technology; Industrialization and Wireless Communications Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10223408","Frequency domain (FD);long-sequence time-series forecasting (LSTF);multiscale;multitask;time domain (TD)","Feature extraction;Predictive models;Forecasting;Data models;Computational modeling;Time series analysis;Data mining","","","","","","","IEEE","17 Aug 2023","","","IEEE","IEEE Early Access Articles"
"Forecasting of the Reservoir in Flow with Recurrent Neural Network Architecture","P. Sharma","Centre for Interdisciplinary Research in Business and Technology, Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India","2023 2nd International Conference on Edge Computing and Applications (ICECAA)","16 Aug 2023","2023","","","1145","1150","One of the most difficult challenges has been forecasting a hydrologic time series due to the vast variety of data, the uncertainty in the parameters impacting the time series, and insufficient data. The feed-forward network and the recurrent neural network are the two selected networks. The ordered partial derivatives method trains the recurrent neural network, while the feed-forward network is trained using the conventional back propagation algorithm with several modifications. In this research, the daily flow of the stream of the water reservoir hydroelectric dam, and another natural water reservoir, is studied using deep Recurrent Neural Network (RNN) architectures. When modeling inflow in the most realistic way possible, it may boost energy production and income by optimizing water management, considering that the water reservoir is utilized for hydroelectric operations and energy generation. Hence, many percent gains can be beneficial. As a result of the precision of the deep learning techniques, RNNs can be used to estimate streamflow to a water reservoir.","","979-8-3503-4757-9","10.1109/ICECAA58104.2023.10212288","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10212288","Recurrent Neural Network;Back Propagation Algorithm;Simple RNN;LSTM;Gated Recurrent Unit","Deep learning;Recurrent neural networks;Uncertainty;Dams;Time series analysis;Reservoirs;Real-time systems","","","","","","38","IEEE","16 Aug 2023","","","IEEE","IEEE Conferences"
"Time-Series Data Prediction Using Johnson-Lindenstrauss Lemma, Fuzzy Logic, And Self Organizing Maps","F. N. S; S. Gopalan","Department of Mathematics, Cochin University of Science and Technology, Cochin, Kerala, India; Department of Mathematics, Cochin University of Science and Technology, Cochin, Kerala, India","2023 2nd International Conference on Edge Computing and Applications (ICECAA)","16 Aug 2023","2023","","","1526","1531","This paper uses a hybrid model combining Self-Organizing Maps (SOM), Johnson-Lindenstrauss Lemma(JLL), and Fuzzy Logic for time-series data prediction. It is named as SJLF model. SOM is used to group data having similar characteristics. By JLL, high-dimensional data is projected to low-dimensional space by approximately preserving the distance between the input vectors. The fuzziness in data is also carried on to the projected values. These projected values are input into the fuzzy logic system to obtain the predicted value as output. For experimental analysis, the available data on COVID-19 is taken from humanitarian data exchange. The proposed SJLF model is applied to five coronavirus-affected countries Belgium, Brazil, Colombia, India, and Iran. The SJLF model's prediction shows promising results as the average MAPE for five countries is 1.199, and the prediction accuracy on an average is 98.8%. The proposed model is compared with the ANFIS model and is found that the proposed model shows better forecasting results.","","979-8-3503-4757-9","10.1109/ICECAA58104.2023.10212202","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10212202","Self-Organizing Maps;Johnson-Lindenstrauss Lemma;Fuzzy logic;Random Projection;ANFIS model","Self-organizing feature maps;Fuzzy logic;COVID-19;Computational modeling;Predictive models;Data models;Particle swarm optimization","","","","","","24","IEEE","16 Aug 2023","","","IEEE","IEEE Conferences"
"Prediction of the RUL of PEMFC Based on Multivariate Time Series Forecasting Model","N. Zhou; Z. Zheng; J. Zhou","School of Information Engineering, Wuhan University of Technology, Wuhan, China; School of Information Engineering, Wuhan University of Technology, Wuhan, China; School of Information Engineering, Wuhan University of Technology, Wuhan, China","2023 3rd International Symposium on Computer Technology and Information Science (ISCTIS)","16 Aug 2023","2023","","","87","92","Proton exchange membrane fuel cells (PEMFC) have shown great potential as an energy conversion device with high efficiency and environmental friendliness in various fields. However, the issue of the remaining useful life of PEMFC has been a key challenge that hinders its widespread commercialization. In this paper, we propose a multivariate time series forecasting model, Crossformer, and a regression model to predict the remaining useful life of PEMFC more accurately. Based on the transformer model, Crossformer utilizes cross-time dependencies and cross-dimension dependencies for multi-dimensional forecasting, which enhances the accuracy of traditional transformers for time series forecasting. Finally, we use the predicted multi-dimensional feature values with a regression model to achieve the remaining useful life prediction of PEMFC. Furthermore, we address the issue of non-stationarity in the original sequences by employing a two-stage normalization approach. Specifically, we perform normalization on each input sample and restore the predicted output results using the same statistical data to enhance data stationarity, thereby improving the prediction accuracy of the model. We conduct experiments on operating data from actual PEMFC-equipped vehicles, and the results demonstrate the high accuracy of our proposed model.","","979-8-3503-2538-6","10.1109/ISCTIS58954.2023.10213070","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10213070","PEMFC;RUL;Transformer;Crossformer;non-stationary","Protons;Information science;Computational modeling;Time series analysis;Fuel cells;Predictive models;Transformers","","","","","","10","IEEE","16 Aug 2023","","","IEEE","IEEE Conferences"
