"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Indian National Stock Exchange Crude Oil (CL=F) Close Price Forecasting Using LSTM and Bi-LSTM Multivariate Deep Learning Approaches","V. Khullar; R. Chhabra; M. Angurala; M. Veeramanickam; K. Singh; V. Lamba","Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India; Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India; School of Computer Science and Engineering, Vellore Institute of Technology, Chennai, India; Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India; Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India; Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India","2023 International Conference on Computational Intelligence and Sustainable Engineering Solutions (CISES)","21 Jul 2023","2023","","","839","842","Predictive analysis of crude oil prices is very much required as worldwide economy depends on it. In this paper, time series based predictive analysis is implemented to predict crude oil prices in Indian national stock exchange. A real time online data source was utilized for collecting till date data starting from 2002. LSTM and Bidirectional-LSTM based multivariate algorithms were applied to analyze and predict future trends and predictions of fuel prices. Analyzed results on crude oil price prediction revealed Bi-LSTM as a better technique in comparison to LSTM.","","979-8-3503-2391-7","10.1109/CISES58720.2023.10183624","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10183624","time series analysis;crude oil stock index price;deep learning;LSTM;Bi LSTM","Oils;Soft sensors;Time series analysis;Prediction algorithms;Market research;Real-time systems;Indexes","crude oil;deep learning (artificial intelligence);pricing;recurrent neural nets;stock markets;time series","Bi-LSTM Multivariate Deep Learning Approaches;Bidirectional-LSTM based multivariate algorithms;crude oil price prediction;crude oil prices;fuel prices;Indian national stock exchange crude oil;time series based predictive analysis","","","","15","IEEE","21 Jul 2023","","","IEEE","IEEE Conferences"
"Data Science – A Compendious Study on Statistical Methods and Visualization Techniques","K. U. Singh; S. K. Pandey; D. P. Yadav; T. Singh; G. Kumar; A. Kumar","School of Computing, Graphic Era Hill University, Dehradun, India; Department of Computer Engineering & Applications, GLA University, Mathura, UP, India; Department of Computer Engineering & Applications, GLA University, Mathura, UP, India; Department of Computer Science and Engineering, Graphic Era Deemed to be University, Dehradun; Department of Computer Engineering & Applications, GLA University, Mathura, UP, India; Department of Computer Engineering & Applications, GLA University, Mathura, UP, India","2023 International Conference on Computational Intelligence and Sustainable Engineering Solutions (CISES)","21 Jul 2023","2023","","","227","232","Knowledge and insights may be gleaned from both organized and unstructured data through the use of Data Science, which is itself a multidisciplinary discipline. Finding patterns and trends in data requires a wide range of methods, including but not limited to cleaning, transformation, analysis, and visualization. A data scientist's primary responsibility is to transform unstructured data into a form suitable for analysis through the processes of processing and cleaning. This approach utilizes several statistical procedures, such as calculating the mean, mode, median, standard deviation, correlation, regression, and hypothesis testing. These techniques are useful for discovering abnormalities, missing values, and outliers in data, as well as for eliminating them. When the data has been cleansed and organized, it will be analyzed using statistical and machine-learning techniques to draw conclusions and make forecasts. To find patterns, trends, and correlations in the data, this study may make use of methods including clustering, classification, regression, and time series analysis. Data visualization is crucial to data science because it facilitates the dissemination of ideas and conclusions to stakeholders who may not have technical expertise. Scatter plots, bar charts, heat maps, and network diagrams are just a few of the data visualization methods that may be utilized to convey information interestingly. A wide variety of fields, from economics and finance to medicine and social media, can benefit from data science. Data science is useful in business for several purposes, including cost reduction, client retention, and discovery of untapped markets. As a field of study, data science has the potential to improve healthcare by aiding in areas such as disease detection, treatment, and the creation of new medications. Data science may be applied to social media to study user behavior and sentiment and to spot and stop criminality. It is a dynamic and promising new area that has the potential to revolutionize many different markets. Data visualization, machine learning, and statistical analysis all work together to help data scientists extract useful information from large, messy datasets.","","979-8-3503-2391-7","10.1109/CISES58720.2023.10183429","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10183429","Data Science;Data Manipulation;Python;Data Visualization;Statistical Methods","Correlation;Statistical analysis;Social networking (online);Data visualization;Machine learning;Transforms;Data science","cost reduction;data analysis;data mining;data visualisation;diseases;health care;learning (artificial intelligence);pattern classification;pattern clustering;regression analysis;sentiment analysis;social networking (online);statistical analysis;time series","data science;data scientist;data scientists;data visualization methods;unstructured data","","","","17","IEEE","21 Jul 2023","","","IEEE","IEEE Conferences"
"Analysis of Machine Learning and Deep Learning to Forecast Prices on Several Crypto Exchanges","U. S. Sumi; R. Akter; K. A. Ahamed; S. Sutradhar; S. Ahamed; T. Elias","Department of Computer Science and Engineering, Port City International University, Chattogram, Bangladesh; Department of Computer Science and Engineering, Port City International University, Chattogram, Bangladesh; Department of Computer Science and Engineering, Port City International University, Chattogram, Bangladesh; Department of Computer Science and Engineering, Port City International University, Chattogram, Bangladesh; Department of Computer Science and Engineering, Port City International University, Chattogram, Bangladesh; Department of Computer Science and Engineering, Port City International University, Chattogram, Bangladesh","2023 Fifth International Conference on Electrical, Computer and Communication Technologies (ICECCT)","21 Jul 2023","2023","","","1","8","These days, virtual currencies-the term used to describe cryptocurrencies-are more well-known and have aroused the interest of numerous people. As a result of using blockchain technology, which decentralizes banking, daily cryptocurrency trading has become quite popular among observers, investors, customers, and many other groups. However, due to the daily fluctuations in the value of cryptocurrencies, prediction techniques enable stakeholders to look into the future and identify potential threats to their crucial investment operations. The increasing popularity of cryptocurrencies has made price predictions more promising for investors along with researchers. As artificial intelligence (AI) has advanced to such a level, forecasting the price of cryptocurrencies has grown in significance. In this study, we develop an approach based on machine learning and deep learning as a form of AI to forecast the price of various cryptocurrency exchanges, such as Bitcoin (BTC), Ethereum (ETH), BinanceCoin (BNB), and FTX (FTT), based on their various pricing points. The results from the machine learning models demonstrated that linear regression performed better in forecasting all types of cryptocurrency, with a maximum R2 score of 0.9477, 0.9232, 0.9204, and 0.8925 for BTC, ETH, BNB, and FTT, respectively. However, our study found that the Gated Recurrent Unit (GRU), a deep learning-based model, was the most effective algorithm for predicting the prices of all four types of cryptocurrencies. With GRU, we were able to predict the price of ETH with an R2 score as high as 0.9983, and we were also able to predict the prices of BTC, BNB, and FTT with R2 scores of 0.9969, 0.9772, and 0.9873, respectively. The proposed approach demonstrated superior results with minimal prediction errors on estimating the price of all the different crypto exchanges when the outcomes of our research were dealt with those of the existing studies.","","978-1-6654-9360-4","10.1109/ICECCT56650.2023.10179848","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10179848","Crypto curren cy;Time-series;Price Prediction;Linear Regression and Gated Recurrent Unit","Deep learning;Exchange rates;Machine learning algorithms;Linear regression;Bitcoin;Predictive models;Logic gates","blockchains;cryptocurrencies;deep learning (artificial intelligence);economic forecasting;financial data processing;investment;pricing;recurrent neural nets;regression analysis","AI;artificial intelligence;BinanceCoin;bitcoin;blockchain technology;BNB;BTC;cryptocurrency exchanges;cryptocurrency trading;deep learning;ETH;Ethereum;FTT;FTX;gated recurrent unit;GRU;investment operations;linear regression;machine learning;price forecasting;price predictions;pricing points;virtual currencies","","","","40","IEEE","21 Jul 2023","","","IEEE","IEEE Conferences"
"Mech-Health: A Machine Learning Based Fault Detection Using Predictive Analysis For LSTM","R. Vidhya; S. Nagadevi; G. Abirami","Dept. of Computing Technology, SRM Institute of Science and Technology, Chennai, India; Dept. of Computing Technology, SRM Institute of Science and Technology, Chennai, India; Dept. of Computing Technology, SRM Institute of Science and Technology, Chennai, India","2023 Fifth International Conference on Electrical, Computer and Communication Technologies (ICECCT)","21 Jul 2023","2023","","","1","6","Predictive maintenance is a form of maintenance that looks at how well machinery works and how efficient it is during regular operations to reduce the risk of failure. Machinery and other appliances are subjected to less risk due to a sudden failure with the help of predictive maintenance. This form of maintenance device alerts the owner until a malfunction or breakdown is anticipated. Predictive maintenance schedule operations, unlike traditional preventive maintenance, are focused on data obtained from sensors and analysis algorithms. We address the validity of using LSTM instead of conventional approaches such as visual inspection in this paper. Two different models, the Prophet and the Autoencoder LSTM recurrent neural network are used to train the ball-bearing dataset. The prophet method is a forecasting technique implemented with the aid of an encoder-decoder LSTM architecture in R and Python, while Autoencoder LSTM is an autoencoder of sequence data implemented with the help of an encoder-decoder LSTM architecture. Using the two algorithms, and efficient maintenance scheme can be created to limit any potential risk to the assets until they misfire and fully collapse.","","978-1-6654-9360-4","10.1109/ICECCT56650.2023.10179619","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10179619","Predictive Maintenance;Prophet;Autoencoder LSTM","Training;Visualization;Recurrent neural networks;Ball bearings;Time series analysis;Training data;Predictive models","condition monitoring;fault diagnosis;learning (artificial intelligence);mechanical engineering computing;preventive maintenance;Python;recurrent neural nets","autoencoder LSTM recurrent neural network;encoder-decoder LSTM architecture;fault detection;machinery works;mech-health;predictive analysis;preventive maintenance;Python;R language","","","","11","IEEE","21 Jul 2023","","","IEEE","IEEE Conferences"
"Deep Learning-based Hybrid Technique for Forecasting Web Traffic","A. Mahanand; P. Prakash; A. Devaraj","Department of Mathematics, Amrita Vishwa Vidyapeetham, Amritapuri, India; Department of Computer Science and Engineering, Amrita Vishwa Vidyapeetham, Amritapuri, India; Department of Computing, Sheffield Hallam University, UK","2023 Fifth International Conference on Electrical, Computer and Communication Technologies (ICECCT)","21 Jul 2023","2023","","","1","5","Web traffic is a kind of time-series motion, having its highs and lows. The analysis of predicting web traffic has a greater significance for website owners, to make reliable decisions for website users. But the major gripe often faced while exploring concealed and significant details are regarding web users' different usage patterns. In this paper, we apply hybrid-based deep learning algorithms which combine two different architectures of Recurrent Neural Network (RNN), Long Short Term Memory (LSTM), and Gated Recurrent Unit (GRU). The outcome of our hybrid model is acquired by using the ensemble method of stacking. The Web Traffic Time Series Forecasting(WTTSF) dataset by Kaggle is being used to predict future traffic of Wikipedia articles. We use mean squared error, mean absolute error, and $R^{2}$ as major conventional evaluation metrics and it offers less error even though it has data randomness over a large scale.","","978-1-6654-9360-4","10.1109/ICECCT56650.2023.10179797","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10179797","web traffic prediction;RNN;LSTM;GRU;hybrid network;deep learning;ensemble method;stacking","Measurement;Recurrent neural networks;Time series analysis;Stacking;Logic gates;Prediction algorithms;Internet","deep learning (artificial intelligence);learning (artificial intelligence);mean square error methods;neural nets;recurrent neural nets;time series;Web sites","deep learning algorithms;Forecasting Web Traffic;future traffic;Gated Recurrent Unit;greater significance;highs;hybrid model;hybrid technique;Long Short Term Memory;lows;Recurrent Neural Network;reliable decisions;significant details;time-series motion;web users;website owners;website users","","","","16","IEEE","21 Jul 2023","","","IEEE","IEEE Conferences"
"Time Series Analysis and Forecasting of Air Quality in India","V. Gupta; S. Kapadia; C. Bhadane","Department of Computer Engineering, Dwarkadas J. Sanghvi College of Engineering, Mumbai, India; Department of Computer Engineering, Dwarkadas J. Sanghvi College of Engineering, Mumbai, India; Department of Computer Engineering, Dwarkadas J. Sanghvi College of Engineering, Mumbai, India","2023 Fifth International Conference on Electrical, Computer and Communication Technologies (ICECCT)","21 Jul 2023","2023","","","1","5","This paper aims to analyze the air quality in India and the effects of seasons and COVID-19 on the concentration of pollutants in the air and thereby their effect on the air quality index (AQI). The analysis is performed on a full scale, taking into consideration different levels of granularities such as daily, weekly and monthly data. This study performs extensive preprocessing of the time series data for air quality to make it output the best results. The results evidenced that particulate matter i.e., PM 2.5 and PM 10 have the greatest impact on air quality. Analysis of the effect of change in seasons on the overall air quality has been carried out, along with the impact of the nationwide lockdown due to COVID-19, which led to a substantial improvement in the AQI levels. Furthermore, we also use the state-of-the-art forecasting algorithm Prophet to predict the monthly average air quality index and compare it with the actual recorded values, giving us a highly accurate prediction. We also performed a comparative analysis of AQI for the cities of Delhi and Bengaluru, having different seasons and climates, which results in valuable insights on to what extent the environmental factors affect the air quality measures of that location.","","978-1-6654-9360-4","10.1109/ICECCT56650.2023.10179673","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10179673","Machine Learning;Time Series;Air Quality Index;COVID-19;Seasons;Prophet","COVID-19;Correlation;Urban areas;Time series analysis;Air quality;Prediction algorithms;Particle measurements","air pollution;air quality","air pollutants;air quality measures;COVID-19;India;monthly average air quality index;time series analysis","","","","14","IEEE","21 Jul 2023","","","IEEE","IEEE Conferences"
"Econometrics and Time Series Analysis of a Grid-Connected Rooftop Solar System and Prosumers Experience in a Smart Grids Scenario: A Case Study","C. S. Kudarihal; S. Kumar; M. Gupta","Department of Electrical Engineering, Poornima University, Jaipur, India; Department of Electrical Engineering, Poornima University, Jaipur, India; Department of Electrical Engineering, Poornima University, Jaipur, India","2023 Fifth International Conference on Electrical, Computer and Communication Technologies (ICECCT)","21 Jul 2023","2023","","","1","6","The operation of a photovoltaic system is determined by the geographical location and kind of PV modules used. PV systems are advantageous in places with moderate incident solar energy. In Hyderabad, the average annual radiation is 5.44 kWh/m2/day, with around 300 sunny days. On average, solar plants in Hyderabad generate 4 kWh/kW/day or more of usable AC electricity every day. Industrial and commercial energy users in Hyderabad pay grid tariffs of INR 6.5-7.4, or more. Solar may be cheaper than grid electricity for some users and cheaper than diesel power for all consumers at INR 4.5-5/kWh or less [1]. Using measured data from the location, an 8 KW photovoltaic system rooftop solar plant erected atop a five-story residential flat was evaluated for its econometrics and Time Series Analysis. The total amount of energy generated by the system and its time series components has been analysed, and the system's performance over the entire year is estimated as, indicating that generation of electricity from the PV system is a viable option for Telangana state, particularly Hyderabad, to supplement the state's increasing energy needs.","","978-1-6654-9360-4","10.1109/ICECCT56650.2023.10179687","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10179687","Time Series;Forecasting;Payback period;Rooftop Solar Systems","Photovoltaic systems;System performance;Time series analysis;Tariffs;Solar energy;Time measurement;Solar system","building integrated photovoltaics;econometrics;photovoltaic power systems;power engineering computing;power generation economics;power grids;smart power grids;solar power stations;tariffs;time series","300 sunny days;8 KW photovoltaic system rooftop solar plant;average annual radiation;average plants;commercial energy users;econometrics;energy 4.5 kWh to 5.0 kWh;geographical location;grid electricity;grid-connected rooftop solar system;Hyderabad pay grid tariffs;INR 6;moderate incident solar energy;power 8.0 kW;prosumers experience;PV modules;PV system;smart grids scenario;solar plants;state;Time Series Analysis;time series components;usable AC electricity every day","","","","18","IEEE","21 Jul 2023","","","IEEE","IEEE Conferences"
"A realistic network traffic forecasting method based on VMD and LSTM network","K. Wu; J. Lu; F. Lin; Y. Huang; C. Zhan; L. Sun","School of Electrical and Computer Engineering, Nanfang College, Guangzhou, Guangdong, China; School of Electrical and Computer Engineering, Nanfang College, Guangzhou, Guangdong, China; School of Electrical and Computer Engineering, Nanfang College, Guangzhou, Guangdong, China; School of Electrical and Computer Engineering, Nanfang College, Guangzhou, Guangdong, China; School of Electrical and Computer Engineering, Nanfang College, Guangzhou, Guangdong, China; School of Electrical and Computer Engineering, Nanfang College, Guangzhou, Guangdong, China","2023 IEEE International Symposium on Circuits and Systems (ISCAS)","21 Jul 2023","2023","","","1","5","Global internet usage is growing dramatically in recent years, making it difficult for operators to allocate resources rationally and maintain network security. If the network traffic can be accurately and timely forecasted, it can help operators relieve this pressure. However, due to the non-linearity and non-stationarity of network traffic, it's difficult to capture dynamic characteristics to obtain excellent prediction results for large number of traditional methods. To address this issue, we propose a novel long short-term memory (LSTM) neural network combined with variational mode decomposition (VMD) for network traffic forecasting. It firstly applies VMD to decompose the time series according to frequency information, extracting nonlinear and non-stationary features in the sequence, and then LSTM exploited to capture the long-term dependencies of network traffic data. We combine the decomposition algorithm with LSTM to establish a mapping between historical network traffic data and future ones. Experimental results based on real-world datasets demonstrate that the prediction accuracy of our model overperforms the existing state-of-the-art algorithms,","2158-1525","978-1-6654-5109-3","10.1109/ISCAS46773.2023.10182143","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10182143","Network traffic forecasting;Long short-term memory;Time series;Variational mode decomposition","Time-frequency analysis;Time series analysis;Telecommunication traffic;Predictive models;Logic gates;Prediction algorithms;Feature extraction","computer network security;Internet;recurrent neural nets;telecommunication traffic;time series","global Internet usage;long short-term memory neural network;LSTM network;network security;network traffic data;nonlinear feature;nonstationary feature;realistic network traffic forecasting method;time series;variational mode decomposition;VMD","","","","21","IEEE","21 Jul 2023","","","IEEE","IEEE Conferences"
"Electricity Consumption Forecasting based on Machine Learning Techniques","Z. Skaf; H. Abdulmouti; A. Alshareif; M. H. Albanna","Department of Mechanical Engineering, Sharjah Men's College, Higher Colleges of Technology, Sharjah, UAE; Department of Mechanical Engineering, Sharjah Men's College, Higher Colleges of Technology, Sharjah, UAE; Department of Mechanical Engineering, Sharjah Men's College, Higher Colleges of Technology, Sharjah, UAE; Department of Mechanical Engineering, Sharjah Men's College, Higher Colleges of Technology, Sharjah, UAE","2023 Advances in Science and Engineering Technology International Conferences (ASET)","20 Jul 2023","2023","","","1","6","Electricity is generated by coal, natural gas, renewable resources and nuclear energy, where coal and natural gas generate around 50% of the generated electricity. The global power market is expected to grow by more than 6% during the next five years. Therefore, predicting electricity demand is essential for formulating the energy strategy and developing its policies. In this paper, we apply five prediction models, namely: Artificial Neural Network (ANN), long short-term memory network (LSTM), Bidirectional LSTM (BiLSTM), Gated recurrent unit (GRU) and Deep Neural Network (DNN) to address the problem of electricity demand forecasting. Then, we will evaluate the prediction model's performance based on the Mean Square Error (MSE) and Root Mean Squared Error (RMSE) values. The results demonstrated that the BiLSTM performs better than LSTM, ANN, DNN, RNN and GRU prediction models.","2831-6878","978-1-6654-5474-2","10.1109/ASET56582.2023.10180605","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10180605","electricity consumption;machine learning;LSTM;BiLSTM;DNN;ANN;GRU","Training;Renewable energy sources;Time series analysis;Artificial neural networks;Machine learning;Coal;Predictive models","deep learning (artificial intelligence);load forecasting;mean square error methods;natural gas;power consumption;power engineering computing;power markets;recurrent neural nets","ANN;artificial neural network;deep neural network;DNN;electricity consumption forecasting;electricity demand forecasting;gated recurrent unit;global power market;GRU;long short-term memory network;LSTM;machine learning techniques;mean square error;MSE;natural gas;nuclear energy;RMSE;RNN;root mean squared error","","","","31","IEEE","20 Jul 2023","","","IEEE","IEEE Conferences"
"A Machine Learning Approach for Detecting Unauthorized Drone Operators","A. Ahmad; S. AlAmeri; Y. Ibrahim; H. A. Marzouqi","Department of Electrical Engineering and Computer Science, Khalifa University, Abu Dhabi, UAE; Department of Electrical Engineering and Computer Science, Khalifa University, Abu Dhabi, UAE; Department of Electrical Engineering and Computer Science, Khalifa University, Abu Dhabi, UAE; Department of Electrical Engineering and Computer Science, Khalifa University, Abu Dhabi, UAE","2023 Advances in Science and Engineering Technology International Conferences (ASET)","20 Jul 2023","2023","","","1","6","Governmental authorities worldwide have always been striving to impose further restrictions on the use of drones for safety reasons. On the other hand, hijackers always try to find a way to control the UAV to steal it, damage it or even assign tasks that are not meant to be operated. Classification of the UAV operators from the driving behavior is crucial to prevent malicious attacks and hijacking. This paper proposes a short-time prediction of unauthorized pilot behavior. A comprehensive analysis is conducted to find the optimal machine learning approach to classify the UAV operator in terms of accuracy, sensitivity, and prediction time. The utilized dataset consists of recorded flying sessions of 20 different pilots based on four features, thrust, yaw, pitch, and roll. To balance the dataset, the Synthetic Minority Over-sampling Technique (SMOTE) is utilized. A time-series forecasting approach is proposed to recognize repetitive patterns of pilot behavior over short time intervals. Finally, the proposed decision tree (DT) algorithm achieved the highest accuracy with 95% at a prediction time of 15 ms. The results outperformed state-of-the-art solutions for unauthorized pilot detection.","2831-6878","978-1-6654-5474-2","10.1109/ASET56582.2023.10180485","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10180485","","Sensitivity;Machine learning algorithms;Machine learning;Autonomous aerial vehicles;Prediction algorithms;Behavioral sciences;Safety","autonomous aerial vehicles;decision trees;learning (artificial intelligence);pattern classification;sampling methods;time series","decision tree algorithm;driving behavior;drones;DT;governmental authorities;hijackers;malicious attacks prevention;optimal machine;pilots;recorded flying sessions;short time intervals;short-time prediction;SMOTE;synthetic minority over-sampling technique;time-series forecasting approach;UAV operator;unauthorized drone operators detection;unauthorized pilot behavior;unauthorized pilot detection;utilized dataset","","","","24","IEEE","20 Jul 2023","","","IEEE","IEEE Conferences"
